Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
cheapest_insertion,1,0.014,1.158,2167584.29,1160958.561,708632.082,93.701
cheapest_insertion,2,0.013,1.065,1992310.706,960928.294,700133.696,97.638
cheapest_insertion,3,0.013,1.065,1993136.792,1165299.735,695487.075,94.488
cheapest_insertion,4,0.013,1.072,2006299.478,826160.637,716005.377,96.063
cheapest_insertion,5,0.013,1.073,2008581.405,1229689.065,765629.714,85.039
cheapest_insertion,6,0.013,1.07,2002486.236,1001921.11,719308.789,94.488
cheapest_insertion,7,0.013,1.066,1994735.795,1160388.5,749515.512,87.402
cheapest_insertion,8,0.013,1.065,1992310.706,756178.362,700133.696,97.638
cheapest_insertion,9,0.013,1.065,1992310.706,1047069.899,700133.696,97.638
cheapest_insertion,10,0.012,1.065,1993466.08,1205207.68,729899.181,92.913
cheapest_insertion,11,0.012,1.158,2167584.29,1018197.651,714127.752,93.701
cheapest_insertion,12,0.013,1.081,2021826.025,971793.881,704839.183,97.638
cheapest_insertion,13,0.013,1.07,2002459.266,1201170.867,716710.469,92.913
cheapest_insertion,14,0.013,1.07,2003030.896,1038747.941,743407.589,92.913
cheapest_insertion,15,0.012,1.081,2021826.025,1279068.512,704839.183,97.638
cheapest_insertion,16,0.013,1.081,2021826.025,1065952.034,704839.183,97.638
cheapest_insertion,17,0.015,1.072,2006239.287,1199301.552,706791.63,96.85
cheapest_insertion,18,0.013,1.071,2004715.85,843267.174,754916.936,92.126
cheapest_insertion,19,0.013,1.082,2024590.27,778868.488,754729.034,91.339
cheapest_insertion,20,0.013,1.074,2009742.114,1221525.316,703124.211,95.276
cheapest_insertion,AVG,0.013,1.08,2021353.112,1056584.763,719660.199,94.252
cheapest_insertion,STD,0.001,0.027,51129.036,160719.98,21941.07,3.485
