Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
two_opt,1,0.005,1.108,2073095.488,1081723.578,906086.954,94.488
two_opt,2,0.004,1.061,1986074.058,987388.737,853129.891,96.85
two_opt,3,0.004,1.056,1976139.741,904161.823,782960.564,96.063
two_opt,4,0.004,1.077,2015147.157,1123238.748,881941.314,96.063
two_opt,5,0.004,1.051,1966131.989,954627.285,866925.561,92.913
two_opt,6,0.004,1.038,1942140.809,971074.358,791132.33,96.85
two_opt,7,0.004,1.01,1890041.728,867438.341,802906.981,94.488
two_opt,8,0.004,1,1871491.801,1001877.904,793837.775,96.85
two_opt,9,0.004,1.017,1902269.498,860914.562,776333.439,96.063
two_opt,10,0.004,1.055,1973753.81,975217.256,787070.778,96.85
two_opt,11,0.004,1.031,1929832.392,904037.721,774149.235,94.488
two_opt,12,0.004,1.042,1950548.229,1025311.181,832820.3,96.063
two_opt,13,0.004,1.018,1905391.84,1015057.312,809216.779,96.063
two_opt,14,0.004,1.039,1944703.819,983540.003,840884.038,95.276
two_opt,15,0.004,1.021,1909912.519,839844.057,753079.763,96.063
two_opt,16,0.004,1.076,2014274.818,891625.898,856260.795,94.488
two_opt,17,0.004,1.098,2054206.827,1039301.688,900869.517,94.488
two_opt,18,0.004,1.129,2113008.423,1197433.704,899023.052,94.488
two_opt,19,0.004,1.047,1959669.62,1047264.506,750472.098,97.638
two_opt,20,0.004,1.088,2035693.301,1114592.534,800788.121,96.85
two_opt,AVG,0.004,1.053,1970676.393,989283.56,822994.464,95.669
two_opt,STD,0,0.034,64393.885,95414.923,49810.659,1.212
