Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
farthest_insertion,1,0.033,1.022,2402854.947,1153874.197,1046261.704,96.753
farthest_insertion,2,0.03,1.033,2428475.828,1252809.334,1048697.739,96.753
farthest_insertion,3,0.029,1.018,2393449.764,1204876.331,1030120.679,96.753
farthest_insertion,4,0.028,1.034,2429971.017,1088933.789,1062496.383,96.104
farthest_insertion,5,0.028,1.033,2427924.063,1121105.142,1064626.375,96.753
farthest_insertion,6,0.033,1.025,2408447.657,1090130.88,987470.517,96.753
farthest_insertion,7,0.028,1.043,2451129.73,1113084.288,1037016.807,96.753
farthest_insertion,8,0.028,1.023,2404942.587,1320952.908,1044087.388,96.104
farthest_insertion,9,0.028,1.033,2428515.967,1277361.321,1019730.119,96.753
farthest_insertion,10,0.028,1.033,2428517.421,1070168.44,1020738.146,96.753
farthest_insertion,11,0.028,1.026,2411585.2,1031837.878,1014859.151,96.104
farthest_insertion,12,0.027,1.027,2413047.955,1358277.456,1038019.977,96.753
farthest_insertion,13,0.032,1.01,2374292.673,1203793.008,1026669.574,96.753
farthest_insertion,14,0.028,1.022,2402340.109,1272985.019,1016163.782,95.455
farthest_insertion,15,0.029,1.012,2378434.521,1261567.976,1019703.389,96.104
farthest_insertion,16,0.027,1.026,2411824.698,1110770.809,1046248.997,96.104
farthest_insertion,17,0.029,1.013,2380057.96,1290397.823,1008883.696,97.403
farthest_insertion,18,0.029,1.033,2427549.601,1390628.331,1035394.857,96.104
farthest_insertion,19,0.028,1.017,2391030.286,1338329.492,1009549.637,95.455
farthest_insertion,20,0.031,1.025,2409284.571,1326166.137,1045382.198,96.104
farthest_insertion,AVG,0.029,1.025,2410183.828,1213902.528,1031106.056,96.429
farthest_insertion,STD,0.002,0.009,20132.729,109236.261,19314.947,0.494
