Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.044,1.062,2944517.351,1409197.911,1198554.852,86.517
nearest_insertion,2,0.038,1.065,2952570.503,1568283.362,1182925.754,87.079
nearest_insertion,3,0.04,1.106,3066131.578,1731623.711,1243241.024,92.697
nearest_insertion,4,0.037,1.033,2864141.829,1722957.88,1070067.999,97.753
nearest_insertion,5,0.037,1.054,2920742.842,1473026.444,1184636.892,93.82
nearest_insertion,6,0.041,1.086,3009435.963,1666887.354,1289272.424,92.697
nearest_insertion,7,0.037,1.06,2937807.418,1412879.757,1179118.123,86.517
nearest_insertion,8,0.038,1.031,2858968.487,1255047.703,1047670.886,97.753
nearest_insertion,9,0.042,1.071,2967701.231,1445367.516,1289401.43,85.393
nearest_insertion,10,0.037,1.202,3330546.145,2038087.503,1067263.342,93.82
nearest_insertion,11,0.038,1.068,2960123.565,1567448.548,1199901.722,87.079
nearest_insertion,12,0.042,1.058,2932280.426,1614747.496,1266766.253,84.831
nearest_insertion,13,0.037,1.084,3004675.763,1426199.139,1271987.162,92.135
nearest_insertion,14,0.038,1.07,2966895.235,1473824.037,1171023.136,88.764
nearest_insertion,15,0.043,1.092,3027016.2,1419706.838,1263355.743,91.573
nearest_insertion,16,0.037,1.088,3014965.864,1359361.58,1200163.436,92.135
nearest_insertion,17,0.037,1.091,3024820.229,1249744.91,1074911.17,97.191
nearest_insertion,18,0.037,1.052,2915672.041,1588039.914,1237171.581,86.517
nearest_insertion,19,0.036,1.031,2858968.487,1619982.404,1047670.886,97.753
nearest_insertion,20,0.037,1.076,2983584.602,1522250.393,1213317.223,88.202
nearest_insertion,AVG,0.039,1.074,2977078.288,1528233.22,1184921.052,91.011
nearest_insertion,STD,0.002,0.037,101103.758,181276.496,81711.834,4.431
