Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nn,1,0.002,1.116,3094868.239,1570089.277,993910.522,97.753
nn,2,0.001,1.079,2990283.874,1279471.96,966702.242,98.315
nn,3,0.001,1.122,3109958.49,1162496.371,1005590.936,97.191
nn,4,0.002,1.097,3041305.66,1237092.041,989082.595,97.753
nn,5,0.002,1.137,3150515.011,1953510.024,998768.099,97.753
nn,6,0.002,1.083,3002653.688,1418868.649,992999.861,97.191
nn,7,0.001,1.078,2988265.926,1917449.637,970338.704,97.753
nn,8,0.001,1.101,3050658.239,1781322.908,991806.616,97.753
nn,9,0.001,1.089,3017417.505,1582918.849,978112.711,97.753
nn,10,0.002,1.097,3041304.003,1918765.476,986329.467,97.753
nn,11,0.001,1.103,3056951.486,1924478.303,987524.521,97.191
nn,12,0.002,1.086,3011476.676,1061309.382,985206.671,98.315
nn,13,0.001,1.087,3014347.725,1018571.438,976964.623,98.315
nn,14,0.002,1.089,3018238.486,1247099.04,982756.292,97.753
nn,15,0.002,1.065,2952477.306,1265274.249,962274.768,98.876
nn,16,0.001,1.068,2960834.591,1314229.725,978958.681,97.753
nn,17,0.002,1.1,3050138.067,1592786.021,979123.076,97.191
nn,18,0.002,1.126,3121021.06,1125021.59,1004480.315,97.191
nn,19,0.002,1.077,2985321.31,1364629.333,977087.114,98.315
nn,20,0.001,1.095,3036648.389,1805933.332,1004052.759,97.191
nn,AVG,0.002,1.095,3034734.286,1477065.88,985603.529,97.753
nn,STD,0.001,0.019,52596.607,315650.065,12312.194,0.482
