Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
repetitive_nn,1,0.365,1.051,3300826.69,1407124.31,1077770.65,98.995
repetitive_nn,2,0.351,1.051,3300826.69,1407124.31,1077770.65,98.995
repetitive_nn,3,0.352,1.051,3300826.69,2115114.76,1077770.65,98.995
repetitive_nn,4,0.349,1.051,3300826.69,1407124.31,1077770.65,98.995
repetitive_nn,5,0.346,1.052,3304222.912,1404052.709,1073846.206,98.995
repetitive_nn,6,0.357,1.052,3304222.935,1413420.954,1076609.831,98.995
repetitive_nn,7,0.439,1.051,3300826.69,2115114.76,1077770.65,98.995
repetitive_nn,8,0.352,1.051,3300826.69,1407124.31,1077770.65,98.995
repetitive_nn,9,0.35,1.051,3300826.69,2115114.76,1077770.65,98.995
repetitive_nn,10,0.345,1.051,3300826.69,1407124.31,1077770.65,98.995
repetitive_nn,11,0.351,1.051,3300826.69,1407124.31,1077770.65,98.995
repetitive_nn,12,0.353,1.055,3311529.606,2110634.532,1084661.403,98.492
repetitive_nn,13,0.351,1.052,3304222.935,1413420.954,1076609.831,98.995
repetitive_nn,14,0.358,1.054,3310826.69,1411546.42,1079680.198,98.492
repetitive_nn,15,0.344,1.052,3304222.935,1413420.954,1076609.831,98.995
repetitive_nn,16,0.346,1.051,3300826.69,1407124.31,1077770.65,98.995
repetitive_nn,17,0.349,1.052,3304222.935,1413420.954,1076609.831,98.995
repetitive_nn,18,0.352,1.051,3300826.69,1407124.31,1077770.65,98.995
repetitive_nn,19,0.352,1.051,3300826.69,1407124.31,1077770.65,98.995
repetitive_nn,20,0.44,1.055,3311529.847,1387376.816,1081897.827,98.492
repetitive_nn,AVG,0.36,1.052,3303246.054,1548837.868,1077988.638,98.92
repetitive_nn,STD,0.028,0.001,3767.701,289972.862,2152.151,0.184
