Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.002,1.011,557551.181,292131.118,268102.39,92.308
arbitrary_insertion,2,0,1.045,576330.263,274086.911,268671.172,92.308
arbitrary_insertion,3,0.001,1.025,565344.912,298725.117,272241.531,94.231
arbitrary_insertion,4,0.001,1.034,570501.121,279751.392,272938.155,98.077
arbitrary_insertion,5,0.001,1.003,553344.523,279722.709,267313.885,94.231
arbitrary_insertion,6,0.001,1.051,579613.852,305292.359,279662.089,94.231
arbitrary_insertion,7,0,1.02,562421.822,286691.864,270582.032,96.154
arbitrary_insertion,8,0.001,1.012,558409.27,282789.711,268222.329,92.308
arbitrary_insertion,9,0,1.015,559622.771,285954.022,268966.93,96.154
arbitrary_insertion,10,0.001,1.043,575484.805,283236.51,265802.453,94.231
arbitrary_insertion,11,0,1.009,556335.898,287087.329,269553.127,94.231
arbitrary_insertion,12,0,1.002,552625.429,273732.195,265812.695,94.231
arbitrary_insertion,13,0,1.022,563871.427,277493.29,272464.555,96.154
arbitrary_insertion,14,0,1.013,558788.603,289001.977,270686.503,96.154
arbitrary_insertion,15,0,1.043,575097.746,289104.836,266290.603,96.154
arbitrary_insertion,16,0,1.038,572307.834,302893.342,270614.222,92.308
arbitrary_insertion,17,0,1.012,558338.27,280948.948,271075.226,94.231
arbitrary_insertion,18,0,1.011,557818.369,291836.39,270336.88,94.231
arbitrary_insertion,19,0.001,1.038,572843.377,299222.832,279762.279,96.154
arbitrary_insertion,20,0.001,1.024,564626.174,297776.479,269661.164,96.154
arbitrary_insertion,AVG,0,1.024,564563.882,287873.966,270438.011,94.712
arbitrary_insertion,STD,0.001,0.015,8366.021,9294.769,3790.886,1.636
