Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.004,1.114,2881.953,1449.978,1400.691,79.286
arbitrary_insertion,2,0.002,1.158,2994.226,1489.022,1436.009,80.357
arbitrary_insertion,3,0.003,1.209,3126.621,1554.497,1517.082,78.214
arbitrary_insertion,4,0.003,1.165,3013.205,1530.607,1451.678,79.286
arbitrary_insertion,5,0.002,1.186,3067.524,1532.819,1487.778,80.357
arbitrary_insertion,6,0.003,1.163,3009.128,1543.435,1457.933,80.357
arbitrary_insertion,7,0.002,1.146,2964.585,1459.062,1423.792,77.143
arbitrary_insertion,8,0.002,1.158,2996.029,1472.485,1427.873,81.071
arbitrary_insertion,9,0.002,1.176,3043.226,1584.199,1455.669,78.929
arbitrary_insertion,10,0.002,1.179,3049.745,1494.643,1463.603,79.643
arbitrary_insertion,11,0.002,1.15,2973.612,1478.944,1441.891,84.286
arbitrary_insertion,12,0.002,1.137,2940.998,1504.374,1423.243,79.643
arbitrary_insertion,13,0.002,1.155,2987.954,1490.284,1453.872,80
arbitrary_insertion,14,0.002,1.142,2954.384,1450.372,1430.74,81.071
arbitrary_insertion,15,0.003,1.164,3010.211,1524.32,1465.332,79.643
arbitrary_insertion,16,0.002,1.166,3017.353,1505.36,1450.962,81.429
arbitrary_insertion,17,0.002,1.136,2937.588,1488.103,1416.443,78.929
arbitrary_insertion,18,0.003,1.16,2999.473,1481.523,1449.364,81.071
arbitrary_insertion,19,0.002,1.163,3007.352,1492.166,1463.036,80.357
arbitrary_insertion,20,0.003,1.136,2939.68,1477.373,1412.221,80
arbitrary_insertion,AVG,0.002,1.158,2995.742,1500.178,1446.461,80.054
arbitrary_insertion,STD,0.001,0.021,53.541,35.348,27.039,1.439
