Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.124,1.189,3075.724,1605.582,1439.889,82.143
nearest_insertion,2,0.115,1.178,3046.462,1544.981,1451.476,82.5
nearest_insertion,3,0.117,1.189,3076.11,1595.251,1461.184,77.143
nearest_insertion,4,0.116,1.189,3075.305,1556.748,1446.759,80.357
nearest_insertion,5,0.214,1.164,3011.095,1539.714,1439.092,82.857
nearest_insertion,6,0.115,1.186,3068.424,1600.058,1437.982,80
nearest_insertion,7,0.116,1.188,3072.118,1484.666,1443.377,80.714
nearest_insertion,8,0.113,1.21,3129.595,1526.358,1476.521,78.214
nearest_insertion,9,0.122,1.184,3063.651,1556.06,1449.182,81.786
nearest_insertion,10,0.114,1.194,3087.608,1528.295,1449.735,82.5
nearest_insertion,11,0.114,1.176,3042.797,1537.637,1465.381,80.714
nearest_insertion,12,0.115,1.179,3048.936,1575.069,1443.136,80
nearest_insertion,13,0.116,1.196,3094.487,1493.299,1452.329,82.143
nearest_insertion,14,0.115,1.197,3095.093,1623.091,1442.096,80.357
nearest_insertion,15,0.115,1.175,3040.473,1513.063,1460.993,80.714
nearest_insertion,16,0.114,1.173,3034.288,1481.82,1439.315,81.071
nearest_insertion,17,0.115,1.206,3119.677,1611.935,1478.275,81.071
nearest_insertion,18,0.121,1.196,3092.524,1492.761,1451.764,80.357
nearest_insertion,19,0.116,1.201,3105.616,1498.572,1457.762,83.214
nearest_insertion,20,0.114,1.188,3074.261,1581.433,1462.549,79.286
nearest_insertion,AVG,0.121,1.188,3072.712,1547.32,1452.44,80.857
nearest_insertion,STD,0.022,0.012,29.652,45.368,12.007,1.535
