Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
repetitive_nn,1,0.027,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,2,0.02,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,3,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,4,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,5,0.02,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,6,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,7,0.023,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,8,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,9,0.02,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,10,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,11,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,12,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,13,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,14,0.02,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,15,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,16,0.022,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,17,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,18,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,19,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,20,0.019,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,AVG,0.02,1.17,39236.885,22960.855,15394.334,89.583
repetitive_nn,STD,0.002,0,0,0,0,0
