Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
cheapest_insertion,1,0.004,1.203,9078.844,5007.333,3959.233,90.385
cheapest_insertion,2,0.003,1.195,9014.893,4761.132,3753.754,92.308
cheapest_insertion,3,0.003,1.172,8844.957,4853.909,3846.29,92.308
cheapest_insertion,4,0.003,1.222,9216.761,4351.924,3666.636,92.308
cheapest_insertion,5,0.003,1.169,8818.196,4782.89,3680.614,92.308
cheapest_insertion,6,0.003,1.228,9267.699,4980.884,3929.752,90.385
cheapest_insertion,7,0.003,1.192,8989.597,4467.494,3920.322,94.231
cheapest_insertion,8,0.003,1.193,9001.776,4621.852,3832.276,90.385
cheapest_insertion,9,0.003,1.193,9001.776,4553.035,3832.276,90.385
cheapest_insertion,10,0.003,1.222,9216.761,5042.083,3666.636,92.308
cheapest_insertion,11,0.003,1.169,8818.196,4782.89,3680.614,92.308
cheapest_insertion,12,0.003,1.203,9072.198,4811.866,3794.57,90.385
cheapest_insertion,13,0.003,1.166,8797.446,4323.723,3721.482,92.308
cheapest_insertion,14,0.003,1.203,9072.198,4434.798,3794.57,90.385
cheapest_insertion,15,0.003,1.193,9001.776,4621.852,3832.276,90.385
cheapest_insertion,16,0.003,1.169,8818.196,4204.887,3680.614,92.308
cheapest_insertion,17,0.003,1.19,8976.378,4599.356,3921.153,92.308
cheapest_insertion,18,0.003,1.204,9082.065,4407.545,3830.172,90.385
cheapest_insertion,19,0.003,1.198,9040.977,4257.346,3536.234,88.462
cheapest_insertion,20,0.005,1.195,9014.893,4427.125,3753.754,92.308
cheapest_insertion,AVG,0.003,1.194,9007.279,4614.696,3781.661,91.442
cheapest_insertion,STD,0,0.018,136.685,254.503,109.833,1.32
