Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.005,1.199,9043.19,4637.758,3955.437,92.308
nearest_insertion,2,0.004,1.221,9213.482,4130.003,3769.771,88.462
nearest_insertion,3,0.004,1.25,9430.426,4498.53,3941.141,90.385
nearest_insertion,4,0.003,1.204,9083.076,4807.266,3911.398,90.385
nearest_insertion,5,0.003,1.25,9430.426,4498.53,3941.141,90.385
nearest_insertion,6,0.003,1.167,8805.223,4211.899,3751.914,92.308
nearest_insertion,7,0.004,1.204,9083.076,4807.266,3911.398,90.385
nearest_insertion,8,0.004,1.177,8878.746,4680.118,3939.593,92.308
nearest_insertion,9,0.004,1.205,9092.933,5143.64,3970.864,90.385
nearest_insertion,10,0.004,1.205,9092.933,5143.64,3970.864,90.385
nearest_insertion,11,0.004,1.194,9004.92,4968.273,3646.299,94.231
nearest_insertion,12,0.004,1.221,9213.482,5260.661,3769.771,88.462
nearest_insertion,13,0.004,1.204,9083.076,4450.484,3911.398,90.385
nearest_insertion,14,0.004,1.204,9083.076,4450.484,3911.398,90.385
nearest_insertion,15,0.004,1.204,9083.076,4450.484,3911.398,90.385
nearest_insertion,16,0.003,1.199,9043.19,4637.758,3955.437,92.308
nearest_insertion,17,0.003,1.207,9108.651,4221.955,3658.816,90.385
nearest_insertion,18,0.003,1.204,9083.076,4450.484,3911.398,90.385
nearest_insertion,19,0.004,1.205,9092.933,5143.64,3970.864,90.385
nearest_insertion,20,0.003,1.194,9004.92,4968.273,3646.299,94.231
nearest_insertion,AVG,0.004,1.206,9097.695,4678.057,3867.83,90.962
nearest_insertion,STD,0.001,0.019,146.24,339.67,114.476,1.541
