Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
repetitive_nn,1,0.144,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,2,0.132,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,3,0.131,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,4,0.129,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,5,0.129,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,6,0.13,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,7,0.132,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,8,0.131,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,9,0.13,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,10,0.13,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,11,0.13,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,12,0.129,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,13,0.129,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,14,0.13,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,15,0.129,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,16,0.13,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,17,0.13,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,18,0.129,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,19,0.128,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,20,0.129,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,AVG,0.131,1.178,7198.741,3462.81,3002.258,92.308
repetitive_nn,STD,0.003,0,0,0,0,0
