Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.002,1.111,7256.963,3616.216,3490.619,93.333
arbitrary_insertion,2,0.001,1.138,7433.318,3782.808,3509.32,94.667
arbitrary_insertion,3,0.001,1.097,7163.934,3597.248,3407.385,95.333
arbitrary_insertion,4,0.001,1.112,7265.836,3617.519,3485.664,96.667
arbitrary_insertion,5,0.001,1.079,7050.379,3560.555,3306.96,95.333
arbitrary_insertion,6,0.001,1.147,7492.367,3691.542,3566.333,94
arbitrary_insertion,7,0.001,1.099,7181.248,3628.051,3473.979,95.333
arbitrary_insertion,8,0.001,1.115,7282.224,3800.244,3444.032,94
arbitrary_insertion,9,0.001,1.097,7164.393,3544.062,3418.355,97.333
arbitrary_insertion,10,0.001,1.101,7193.996,3545.256,3395.452,96.667
arbitrary_insertion,11,0.001,1.086,7091.238,3468.516,3386.513,94.667
arbitrary_insertion,12,0.001,1.115,7283.363,3711,3493.199,94
arbitrary_insertion,13,0.001,1.157,7556.439,3694.259,3569.911,91.333
arbitrary_insertion,14,0.001,1.103,7204.165,3719.106,3476.645,95.333
arbitrary_insertion,15,0.001,1.089,7113.465,3686.87,3408.877,94
arbitrary_insertion,16,0.001,1.089,7113.566,3752.831,3337.007,95.333
arbitrary_insertion,17,0.001,1.106,7224.244,3466.492,3383.089,95.333
arbitrary_insertion,18,0.001,1.077,7032.326,3466.55,3356.028,96
arbitrary_insertion,19,0.001,1.117,7297.315,3626.338,3529.93,93.333
arbitrary_insertion,20,0.001,1.098,7174.485,3728.627,3412.938,94.667
arbitrary_insertion,AVG,0.001,1.107,7228.763,3635.205,3442.612,94.833
arbitrary_insertion,STD,0,0.021,138.161,103.265,73.363,1.366
