Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
cheapest_insertion,1,0.023,1.226,8006.317,4014.713,3852.944,90
cheapest_insertion,2,0.018,1.226,8006.317,4044.979,3852.944,90
cheapest_insertion,3,0.018,1.223,7991.329,3961.713,3811.045,93.333
cheapest_insertion,4,0.018,1.221,7974.902,4148.402,3847.54,90
cheapest_insertion,5,0.021,1.224,7995.996,4095.336,3802.987,88.667
cheapest_insertion,6,0.019,1.19,7770.173,3836.788,3686.038,90
cheapest_insertion,7,0.018,1.208,7892.162,4011.475,3776.859,90.667
cheapest_insertion,8,0.018,1.222,7984.346,3982.249,3821.505,90
cheapest_insertion,9,0.017,1.216,7942.55,3935.545,3776.752,89.333
cheapest_insertion,10,0.018,1.22,7971.155,3956.796,3796.668,90
cheapest_insertion,11,0.018,1.262,8243.484,4172.072,3907.828,90
cheapest_insertion,12,0.021,1.191,7779.315,3851.567,3700.391,90.667
cheapest_insertion,13,0.018,1.226,8006.317,4014.713,3852.944,90
cheapest_insertion,14,0.017,1.209,7900.472,4037.204,3759.108,90
cheapest_insertion,15,0.018,1.224,7994.116,4058.697,3827.513,89.333
cheapest_insertion,16,0.018,1.222,7984.346,3982.249,3821.505,90
cheapest_insertion,17,0.017,1.249,8159.102,4099.259,3865.182,90.667
cheapest_insertion,18,0.018,1.214,7927.476,3961.459,3803.368,90
cheapest_insertion,19,0.018,1.266,8269.949,4134.382,3921.692,89.333
cheapest_insertion,20,0.018,1.221,7974.208,4077.874,3799.969,92.667
cheapest_insertion,AVG,0.018,1.223,7988.702,4018.874,3814.239,90.233
cheapest_insertion,STD,0.002,0.019,123.416,89.813,58.396,1.066
