Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.033,1.253,8184.421,4140.114,3900.793,90
nearest_insertion,2,0.027,1.225,7999.815,3982.679,3773.499,91.333
nearest_insertion,3,0.03,1.22,7969.137,4029.171,3833.059,90.667
nearest_insertion,4,0.025,1.256,8206.778,4154.975,3903.818,90
nearest_insertion,5,0.025,1.225,7999.815,4070.468,3773.499,91.333
nearest_insertion,6,0.026,1.233,8056.517,3966.281,3795.712,90.667
nearest_insertion,7,0.025,1.252,8178.532,4133.334,3902.862,90
nearest_insertion,8,0.026,1.223,7992.13,3980.91,3770.913,91.333
nearest_insertion,9,0.026,1.233,8056.517,4143.947,3795.712,90.667
nearest_insertion,10,0.026,1.231,8043.262,3984.093,3833.976,88.667
nearest_insertion,11,0.029,1.242,8115.848,4085.034,3900.162,88
nearest_insertion,12,0.026,1.223,7987.265,3919.28,3757.939,92
nearest_insertion,13,0.026,1.223,7987.265,3919.28,3757.939,92
nearest_insertion,14,0.026,1.243,8116.508,4076.474,3890.529,90
nearest_insertion,15,0.026,1.242,8115.848,4085.034,3900.162,88
nearest_insertion,16,0.025,1.223,7987.265,4121.233,3757.939,92
nearest_insertion,17,0.026,1.256,8206.778,4154.975,3903.818,90
nearest_insertion,18,0.026,1.252,8178.532,4099.722,3902.862,90
nearest_insertion,19,0.029,1.227,8013.155,4106.833,3777.967,90
nearest_insertion,20,0.026,1.216,7943.506,3982.415,3823.577,92
nearest_insertion,AVG,0.027,1.235,8066.945,4056.813,3832.837,90.433
nearest_insertion,STD,0.002,0.013,88.014,79.203,60.895,1.229
