Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nn,1,0.003,1.158,7564.7,3523.05,3222.014,90.667
nn,2,0.001,1.234,8061.357,4448.247,3540.626,91.333
nn,3,0.001,1.16,7578.599,4054.044,3319.262,92
nn,4,0.001,1.177,7689.079,3991.917,3333.7,92
nn,5,0.001,1.28,8360.801,3455.565,3384.525,92
nn,6,0.002,1.119,7309.429,3842.55,3315.782,91.333
nn,7,0.002,1.189,7765.232,3995.985,3396.436,92.667
nn,8,0.001,1.162,7593.249,3916.922,3438.26,91.333
nn,9,0.001,1.169,7633.131,3993.579,3331.758,92.667
nn,10,0.002,1.215,7935.933,4035.899,3314.018,92
nn,11,0.001,1.195,7802.838,3559.949,3296.581,90.667
nn,12,0.002,1.175,7675.771,4056.819,3402.073,92
nn,13,0.001,1.175,7675.827,4077.837,3371.955,90.667
nn,14,0.001,1.178,7695.131,3541.292,3289.668,90.667
nn,15,0.001,1.151,7517.496,4101.554,3289.351,92.667
nn,16,0.002,1.205,7871.283,4183.058,3404.191,91.333
nn,17,0.002,1.197,7816.92,4162.469,3398.317,90.667
nn,18,0.001,1.232,8046.351,4290.333,3418.601,92.667
nn,19,0.001,1.165,7611.482,4066.913,3332.26,92
nn,20,0.001,1.145,7478.43,3888.912,3307.508,92.667
nn,AVG,0.001,1.184,7734.152,3959.345,3355.344,91.7
nn,STD,0.001,0.036,237.352,262.825,69.871,0.764
