Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
cheapest_insertion,1,0.013,1.184,25198.915,12329.568,11790.858,92
cheapest_insertion,2,0.008,1.199,25527.796,13475.374,11667.821,90
cheapest_insertion,3,0.008,1.179,25092.485,12517.459,11614.699,91
cheapest_insertion,4,0.008,1.184,25198.915,12329.568,11790.858,92
cheapest_insertion,5,0.009,1.181,25130.025,12518.444,11627.604,91
cheapest_insertion,6,0.008,1.156,24615.393,13204.77,11041.103,92
cheapest_insertion,7,0.008,1.149,24451.427,12455.202,11393.689,92
cheapest_insertion,8,0.008,1.199,25512.257,13369.751,11798.04,90
cheapest_insertion,9,0.008,1.202,25584.689,12339.279,11713.616,90
cheapest_insertion,10,0.008,1.179,25092.485,12825.951,11614.699,91
cheapest_insertion,11,0.007,1.199,25512.257,13369.751,11798.04,90
cheapest_insertion,12,0.008,1.184,25198.915,13121.336,11790.858,92
cheapest_insertion,13,0.008,1.199,25527.796,12307.7,11667.821,90
cheapest_insertion,14,0.008,1.137,24209.609,12177.369,11311.969,93
cheapest_insertion,15,0.008,1.187,25261.193,13159.227,11850.547,91
cheapest_insertion,16,0.008,1.199,25527.796,12307.7,11667.821,90
cheapest_insertion,17,0.008,1.186,25237.946,12623.388,11708.052,91
cheapest_insertion,18,0.009,1.189,25303.886,13335.654,11498.656,90
cheapest_insertion,19,0.008,1.134,24143.406,12239.306,11304.083,93
cheapest_insertion,20,0.008,1.134,24143.406,12239.306,11304.083,93
cheapest_insertion,AVG,0.008,1.178,25073.53,12712.305,11597.746,91.2
cheapest_insertion,STD,0.001,0.023,486.947,464.559,219.241,1.105
