Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
farthest_insertion,1,0.017,1.05,22353.456,11110.46,10554.93,97
farthest_insertion,2,0.012,1.069,22754.195,11233.016,10699.89,98
farthest_insertion,3,0.011,1.05,22353.456,11466.53,10554.93,97
farthest_insertion,4,0.012,1.099,23388.928,11657.735,10846.487,96
farthest_insertion,5,0.012,1.061,22577.205,11188.934,10684.445,98
farthest_insertion,6,0.012,1.061,22594.401,11113.35,10562.503,96
farthest_insertion,7,0.012,1.095,23302.586,11624.777,10934.244,95
farthest_insertion,8,0.014,1.061,22594.401,11706.994,10562.503,96
farthest_insertion,9,0.011,1.061,22594.401,11113.35,10562.503,96
farthest_insertion,10,0.012,1.061,22594.401,11706.994,10562.503,96
farthest_insertion,11,0.012,1.102,23449.905,11417.389,11091.249,94
farthest_insertion,12,0.012,1.125,23941.36,12567.974,11314.027,93
farthest_insertion,13,0.012,1.055,22446.785,11793.312,10638.034,97
farthest_insertion,14,0.011,1.122,23882.266,12220.867,11301.694,96
farthest_insertion,15,0.012,1.091,23222.396,11238.842,10827.323,98
farthest_insertion,16,0.012,1.054,22440.828,11150.328,10496.413,99
farthest_insertion,17,0.011,1.064,22643.992,11307.93,10638.648,96
farthest_insertion,18,0.012,1.082,23038.935,12162.715,10698.034,99
farthest_insertion,19,0.011,1.054,22428.609,11150.887,10618.133,98
farthest_insertion,20,0.012,1.075,22891.376,11227.659,10779.263,98
farthest_insertion,AVG,0.012,1.075,22874.694,11508.002,10746.388,96.65
farthest_insertion,STD,0.001,0.023,495.439,420.554,242.968,1.565
