Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.018,1.216,25874.393,13087.051,12002.491,92
nearest_insertion,2,0.012,1.228,26130.808,13267.403,12027.452,92
nearest_insertion,3,0.012,1.25,26596.933,13295.821,12353.439,92
nearest_insertion,4,0.012,1.22,25968.469,12980.439,11962.246,92
nearest_insertion,5,0.012,1.195,25435.378,12583.43,11822.407,94
nearest_insertion,6,0.012,1.223,26041.993,13076.363,12078.021,91
nearest_insertion,7,0.012,1.228,26144.66,13275.463,12038.837,93
nearest_insertion,8,0.015,1.25,26596.933,13295.821,12353.439,92
nearest_insertion,9,0.012,1.216,25874.393,13046.085,12002.491,92
nearest_insertion,10,0.011,1.228,26144.66,13130.643,12038.837,93
nearest_insertion,11,0.011,1.216,25880.762,13024.409,11982.535,90
nearest_insertion,12,0.012,1.228,26144.66,13275.463,12038.837,93
nearest_insertion,13,0.012,1.22,25968.469,12980.439,11962.246,92
nearest_insertion,14,0.011,1.228,26144.66,13275.463,12038.837,93
nearest_insertion,15,0.011,1.23,26182.092,13098.409,12117.862,92
nearest_insertion,16,0.011,1.194,25407.384,13155.539,11800.983,95
nearest_insertion,17,0.012,1.209,25744.559,13063.176,11770.635,92
nearest_insertion,18,0.012,1.219,25952.93,13161.506,12028.564,92
nearest_insertion,19,0.011,1.195,25435.378,13106.302,11822.407,94
nearest_insertion,20,0.011,1.197,25469.553,12721.847,11537.284,91
nearest_insertion,AVG,0.012,1.22,25956.953,13095.054,11988.992,92.35
nearest_insertion,STD,0.002,0.016,340.025,185.469,184.614,1.137
