Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
repetitive_nn,1,0.086,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,2,0.073,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,3,0.074,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,4,0.074,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,5,0.074,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,6,0.072,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,7,0.072,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,8,0.072,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,9,0.072,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,10,0.073,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,11,0.073,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,12,0.073,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,13,0.073,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,14,0.08,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,15,0.074,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,16,0.073,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,17,0.073,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,18,0.073,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,19,0.073,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,20,0.072,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,AVG,0.074,1.16,24698.497,14461.142,10196.944,94
repetitive_nn,STD,0.003,0,0,0,0,0
