Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
cheapest_insertion,1,0.014,1.204,17320.69,9532.258,7554.288,88.571
cheapest_insertion,2,0.009,1.193,17159.465,9822.462,6967.23,86.667
cheapest_insertion,3,0.009,1.235,17765.469,9506.167,8004.644,87.619
cheapest_insertion,4,0.009,1.216,17489.464,8013.734,7158.556,88.571
cheapest_insertion,5,0.009,1.19,17109.315,7855.324,7392.142,87.619
cheapest_insertion,6,0.008,1.211,17417.714,9563.158,7654.636,85.714
cheapest_insertion,7,0.008,1.211,17415.155,7967.415,7693.615,87.619
cheapest_insertion,8,0.009,1.204,17320.69,7953.391,7554.288,88.571
cheapest_insertion,9,0.009,1.204,17320.69,9532.258,7554.288,88.571
cheapest_insertion,10,0.009,1.21,17404.21,8012.012,7581.633,84.762
cheapest_insertion,11,0.009,1.211,17415.155,9613.599,7693.615,87.619
cheapest_insertion,12,0.009,1.222,17577.379,9663.544,7779.629,85.714
cheapest_insertion,13,0.009,1.211,17422.669,9562.482,7512.174,86.667
cheapest_insertion,14,0.009,1.177,16934.618,9252.557,6794.539,87.619
cheapest_insertion,15,0.009,1.198,17226.966,9641.738,7512.031,89.524
cheapest_insertion,16,0.008,1.203,17301.786,7837.72,7064.322,87.619
cheapest_insertion,17,0.009,1.158,16649.412,9704.144,7103.833,89.524
cheapest_insertion,18,0.009,1.215,17476.641,9630.583,7728.162,86.667
cheapest_insertion,19,0.009,1.215,17476.641,8012.502,7728.162,86.667
cheapest_insertion,20,0.009,1.206,17347.572,8001.569,7492.379,87.619
cheapest_insertion,AVG,0.009,1.205,17327.585,8933.931,7476.208,87.476
cheapest_insertion,STD,0.001,0.016,236.725,826.374,307.528,1.247
