Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
farthest_insertion,1,0.018,1.042,14987.403,8818.276,6308.533,99.048
farthest_insertion,2,0.013,1.08,15540.047,6560.139,6560.139,96.19
farthest_insertion,3,0.013,1.034,14867.13,6026.789,6026.789,99.048
farthest_insertion,4,0.012,1.048,15078.463,8916.891,6305.176,97.143
farthest_insertion,5,0.012,1.038,14927.421,8813.547,6143.915,98.095
farthest_insertion,6,0.012,1.076,15478.067,9157.599,6467.877,97.143
farthest_insertion,7,0.012,1.074,15449.58,9150.084,6446.635,96.19
farthest_insertion,8,0.013,1.059,15236.031,6322.733,6322.733,95.238
farthest_insertion,9,0.013,1.033,14859.838,6258.409,6201.621,98.095
farthest_insertion,10,0.013,1.037,14919.791,6106.396,6106.396,97.143
farthest_insertion,11,0.016,1.057,15204.677,6397.913,6397.913,97.143
farthest_insertion,12,0.012,1.034,14867.13,8981.933,6026.789,99.048
farthest_insertion,13,0.013,1.072,15419.855,8835.656,6445.675,95.238
farthest_insertion,14,0.012,1.053,15146.28,8920.954,6360.692,98.095
farthest_insertion,15,0.013,1.068,15356.66,6134.543,6134.543,97.143
farthest_insertion,16,0.013,1.087,15630.146,6774.994,6603.752,97.143
farthest_insertion,17,0.013,1.096,15762.409,6827.108,6780.389,99.048
farthest_insertion,18,0.012,1.112,15999.316,7014.68,6574.956,93.333
farthest_insertion,19,0.015,1.118,16077.632,9264.476,6478.375,94.286
farthest_insertion,20,0.012,1.1,15816.982,9124.337,6754.29,97.143
farthest_insertion,AVG,0.013,1.066,15331.243,7720.373,6372.359,97.048
farthest_insertion,STD,0.002,0.027,385.874,1336.479,221.57,1.603
