Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.002,1118.121,561.277,560.628,99
arbitrary_insertion,2,0.001,1134.374,575.744,567.864,97
arbitrary_insertion,3,0.001,1137.352,577.195,563.439,98
arbitrary_insertion,4,0.001,1126.251,571.601,564.612,98
arbitrary_insertion,5,0,1137.35,586.194,562.53,97
arbitrary_insertion,6,0.001,1109.999,560.548,560.548,100
arbitrary_insertion,7,0,1134.374,572.656,566.154,97
arbitrary_insertion,8,0,1118.126,567.864,560.631,99
arbitrary_insertion,9,0.001,1134.377,568.188,562.256,98
arbitrary_insertion,10,0,1126.249,566.886,562.986,98
arbitrary_insertion,11,0,1109.997,560.547,560.546,100
arbitrary_insertion,12,0,1126.246,568.184,562.498,99
arbitrary_insertion,13,0,1118.126,565.669,560.631,99
arbitrary_insertion,14,0,1137.35,577.882,565.187,98
arbitrary_insertion,15,0.001,1142.502,569.489,565.589,97
arbitrary_insertion,16,0.001,1109.999,560.549,560.548,100
arbitrary_insertion,17,0.001,1126.246,567.861,562.009,99
arbitrary_insertion,18,0.001,1134.375,569.406,566.318,99
arbitrary_insertion,19,0,1118.128,561.363,560.632,99
arbitrary_insertion,20,0,1126.25,568.35,561.524,98
arbitrary_insertion,AVG,0.001,1126.29,568.873,562.857,98.45
arbitrary_insertion,STD,0.001,10.142,6.726,2.33,0.999
