Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nn,1,0.002,1264.589,648.928,582.92,97
nn,2,0.001,1341.305,737.805,580.566,94
nn,3,0.001,1230.951,577.111,571.461,97
nn,4,0.001,1239.935,591.898,571.104,97
nn,5,0.001,1267.653,586.95,572.761,98
nn,6,0.001,1271.056,684.28,570.497,97
nn,7,0.001,1265.689,678.16,584.617,95
nn,8,0.001,1320.647,729.439,581.38,95
nn,9,0.001,1285.655,667.233,592.603,97
nn,10,0.001,1228.955,619.638,576.386,98
nn,11,0.001,1269.619,693.604,569.088,97
nn,12,0.001,1268.179,657.747,582.702,95
nn,13,0.001,1372.994,738.717,586.402,96
nn,14,0.001,1272.084,653.818,586.676,96
nn,15,0.001,1241.593,616.432,572.8,98
nn,16,0.001,1286.828,572.883,569.76,97
nn,17,0.001,1240.635,602.708,572.205,98
nn,18,0.001,1240.635,602.708,572.205,98
nn,19,0.001,1262.626,663.6,583.485,95
nn,20,0.001,1356.559,766.442,579.027,94
nn,AVG,0.001,1276.409,654.505,577.932,96.45
nn,STD,0,41.179,58.311,6.945,1.356
