Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
cheapest_insertion,1,0.037,2220.002,1115.551,1115.549,100
cheapest_insertion,2,0.033,2219.997,1115.55,1115.546,100
cheapest_insertion,3,0.031,2228.126,1120.262,1115.589,99.5
cheapest_insertion,4,0.031,2236.25,1124.773,1117.214,99
cheapest_insertion,5,0.032,2220.002,1115.551,1115.55,100
cheapest_insertion,6,0.032,2236.246,1118.552,1116.765,99
cheapest_insertion,7,0.031,2236.245,1118.998,1117.212,99
cheapest_insertion,8,0.031,2236.254,1127.536,1119.492,99
cheapest_insertion,9,0.032,2219.999,1115.549,1115.547,100
cheapest_insertion,10,0.032,2228.128,1120.833,1115.592,99.5
cheapest_insertion,11,0.032,2236.25,1125.586,1118.922,99.5
cheapest_insertion,12,0.031,2219.998,1115.55,1115.546,100
cheapest_insertion,13,0.031,2220,1115.55,1115.548,100
cheapest_insertion,14,0.031,2228.123,1121.442,1115.589,99.5
cheapest_insertion,15,0.032,2236.253,1123.879,1117.216,99
cheapest_insertion,16,0.032,2228.128,1118.557,1115.592,99.5
cheapest_insertion,17,0.031,2236.252,1123.636,1117.215,99
cheapest_insertion,18,0.032,2228.126,1118.151,1115.589,99.5
cheapest_insertion,19,0.033,2252.504,1125.911,1122.01,98.5
cheapest_insertion,20,0.032,2236.252,1124.692,1115.916,99
cheapest_insertion,AVG,0.032,2230.157,1120.306,1116.66,99.425
cheapest_insertion,STD,0.001,8.694,4.132,1.727,0.467
