Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.063,2382.364,1205.87,1178.759,92.5
nearest_insertion,2,0.055,2341.896,1170.404,1163.7,93
nearest_insertion,3,0.052,2401.75,1200.031,1194.405,91
nearest_insertion,4,0.057,2463.782,1243.21,1220.052,86.5
nearest_insertion,5,0.053,2390.649,1207.741,1182.064,90.5
nearest_insertion,6,0.05,2380.348,1210.473,1177.822,92
nearest_insertion,7,0.054,2408.917,1197.821,1186.705,91
nearest_insertion,8,0.052,2442.377,1232.86,1207.785,87.5
nearest_insertion,9,0.056,2420.976,1204.662,1193.742,89.5
nearest_insertion,10,0.052,2384.54,1199.624,1177.802,91
nearest_insertion,11,0.051,2379.389,1210.409,1175.006,92
nearest_insertion,12,0.054,2423.154,1207.579,1195.391,90
nearest_insertion,13,0.052,2350.021,1182.674,1164.146,92
nearest_insertion,14,0.056,2382.525,1192.994,1180.318,91
nearest_insertion,15,0.053,2406.9,1195.593,1185.111,89
nearest_insertion,16,0.05,2447.528,1224.032,1202.256,87.5
nearest_insertion,17,0.053,2417.042,1221.363,1185.637,89
nearest_insertion,18,0.05,2366.272,1185.029,1170.647,92
nearest_insertion,19,0.055,2393.624,1190.26,1180.47,91
nearest_insertion,20,0.052,2398.776,1206.685,1185.07,89
nearest_insertion,AVG,0.054,2399.141,1204.466,1185.344,90.35
nearest_insertion,STD,0.003,31.045,17.147,13.968,1.807
