Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
farthest_insertion,1,0.146,3290.667,1646.98,1634.094,98.667
farthest_insertion,2,0.137,3227.818,1617.967,1615.373,100
farthest_insertion,3,0.136,3235.686,1629.158,1616.739,100
farthest_insertion,4,0.14,3243.55,1632.118,1621.38,99.333
farthest_insertion,5,0.139,3261.203,1641.871,1621.816,99.333
farthest_insertion,6,0.138,3251.39,1628.866,1622.054,99.333
farthest_insertion,7,0.138,3235.683,1623.523,1618.23,99.667
farthest_insertion,8,0.136,3227.827,1622.875,1615.374,100
farthest_insertion,9,0.134,3259.249,1642.456,1623.861,99.667
farthest_insertion,10,0.138,3243.527,1631.638,1622.701,99.667
farthest_insertion,11,0.134,3235.672,1624.569,1618.224,99.667
farthest_insertion,12,0.135,3243.54,1628.44,1618.839,99.333
farthest_insertion,13,0.138,3243.538,1626.796,1620.328,99.667
farthest_insertion,14,0.137,3251.386,1626.003,1623.331,99.667
farthest_insertion,15,0.134,3219.961,1615.346,1615.342,100
farthest_insertion,16,0.138,3227.823,1621.899,1615.373,100
farthest_insertion,17,0.135,3267.115,1643.772,1629.783,99.333
farthest_insertion,18,0.133,3235.665,1630.797,1615.653,100
farthest_insertion,19,0.137,3243.539,1624.834,1619.62,99.667
farthest_insertion,20,0.134,3235.68,1628.731,1615.53,99.667
farthest_insertion,AVG,0.137,3244.026,1629.432,1620.182,99.633
farthest_insertion,STD,0.003,16.319,8.528,5.025,0.34
