Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
two_opt,1,0.129,4390.144,2129.577,2125.823,99
two_opt,2,0.129,4329.943,2178.834,2140.093,98.25
two_opt,3,0.132,4319.302,2184.781,2135.759,98.75
two_opt,4,0.133,4405.104,2249.469,2127.305,98.75
two_opt,5,0.14,4316.315,2176.775,2125.027,99.25
two_opt,6,0.135,4433.625,2276.678,2145.065,98
two_opt,7,0.136,4296.143,2158.991,2127.486,99
two_opt,8,0.132,4353.627,2191.585,2135.676,98.75
two_opt,9,0.138,4365.967,2205.412,2119.333,99.5
two_opt,10,0.127,4434.335,2285.048,2145.548,98
two_opt,11,0.134,4309.48,2186.863,2126.68,99
two_opt,12,0.131,4282.52,2130.474,2127.447,99.25
two_opt,13,0.13,4301.761,2180.491,2132.025,99.25
two_opt,14,0.139,4352.771,2148.388,2122.581,99.75
two_opt,15,0.139,4355.484,2152.655,2117.828,99.75
two_opt,16,0.131,4311.211,2135.904,2123.134,99.25
two_opt,17,0.133,4396.854,2263.893,2127.139,98.5
two_opt,18,0.132,4357.255,2195.027,2134.969,98.25
two_opt,19,0.13,4301.749,2167.224,2135.305,98.25
two_opt,20,0.131,4411.194,2232.936,2140.529,98
two_opt,AVG,0.133,4351.239,2191.55,2130.738,98.825
two_opt,STD,0.004,47.438,47.439,8.074,0.568
