Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.002,1045.498,526.301,520.192,97
arbitrary_insertion,2,0.001,1049.706,533.581,516.515,93
arbitrary_insertion,3,0.001,1070.351,529.214,527.684,93
arbitrary_insertion,4,0,1024.853,513.947,510.633,97
arbitrary_insertion,5,0,1049.706,539.463,520.243,93
arbitrary_insertion,6,0,1049.706,535.486,521.734,93
arbitrary_insertion,7,0,1041.421,526.87,519.415,95
arbitrary_insertion,8,0,1055.563,533.641,523.235,90
arbitrary_insertion,9,0.001,1063.848,534.83,525.189,93
arbitrary_insertion,10,0.001,1049.706,532.007,524.385,94
arbitrary_insertion,11,0.001,1066.274,533.995,528.03,94
arbitrary_insertion,12,0.001,1066.274,539.794,531.841,90
arbitrary_insertion,13,0,1041.421,526.705,521.403,96
arbitrary_insertion,14,0.001,1049.706,533.001,524.882,94
arbitrary_insertion,15,0.001,1057.99,535.735,526.042,95
arbitrary_insertion,16,0,1049.706,532.587,522.977,94
arbitrary_insertion,17,0,1066.274,539.628,530.184,92
arbitrary_insertion,18,0,1078.635,542.149,535.277,91
arbitrary_insertion,19,0.001,1033.137,520.989,514.196,94
arbitrary_insertion,20,0.001,1049.706,532.587,522.148,91
arbitrary_insertion,AVG,0.001,1052.974,532.125,523.31,93.45
arbitrary_insertion,STD,0.001,13.024,6.744,5.854,2.012
