Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
cheapest_insertion,1,0.037,2124.264,1083.991,1050.688,92.5
cheapest_insertion,2,0.033,2165.685,1089.168,1071.606,90.5
cheapest_insertion,3,0.032,2140.833,1070.653,1058.931,92.5
cheapest_insertion,4,0.032,2136.625,1074.715,1057.141,91
cheapest_insertion,5,0.031,2124.264,1067.96,1058.434,92
cheapest_insertion,6,0.031,2124.264,1058.309,1058.309,93
cheapest_insertion,7,0.031,2136.625,1062.692,1059.276,92.5
cheapest_insertion,8,0.032,2153.193,1098.831,1060.532,93.5
cheapest_insertion,9,0.031,2140.833,1090.411,1055.493,91
cheapest_insertion,10,0.031,2130.122,1067.846,1048.289,91
cheapest_insertion,11,0.031,2149.117,1093.683,1064.688,91
cheapest_insertion,12,0.031,2115.98,1062.866,1050.936,93
cheapest_insertion,13,0.031,2140.833,1080.014,1059.966,94
cheapest_insertion,14,0.031,2182.254,1086.517,1080.055,91.5
cheapest_insertion,15,0.031,2091.127,1046.339,1034.948,94.5
cheapest_insertion,16,0.031,2124.264,1067.878,1057.522,93.5
cheapest_insertion,17,0.031,2066.274,1028.403,1028.403,94
cheapest_insertion,18,0.032,2140.833,1068.458,1057.895,92.5
cheapest_insertion,19,0.031,2132.548,1080.677,1057.315,91.5
cheapest_insertion,20,0.031,2107.696,1052.8,1047.954,95
cheapest_insertion,AVG,0.032,2131.382,1071.611,1055.919,92.5
cheapest_insertion,STD,0.001,24.953,17.279,11.137,1.308
