Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
farthest_insertion,1,0.142,3165.685,1590.659,1570.943,94.667
farthest_insertion,2,0.133,3173.97,1585.772,1580.801,91.667
farthest_insertion,3,0.133,3182.254,1595.575,1584.253,91.667
farthest_insertion,4,0.134,3202.899,1606.605,1595.444,93.667
farthest_insertion,5,0.134,3165.685,1595.878,1572.406,91.333
farthest_insertion,6,0.135,3173.97,1591.074,1580.553,92
farthest_insertion,7,0.131,3211.183,1598.426,1596.592,91.667
farthest_insertion,8,0.141,3190.538,1599.551,1584.695,93
farthest_insertion,9,0.133,3198.823,1603.39,1586.379,90.667
farthest_insertion,10,0.137,3165.685,1595.851,1575.14,90.667
farthest_insertion,11,0.134,3207.107,1602.009,1585.413,92
farthest_insertion,12,0.137,3231.96,1627.027,1604.163,91.333
farthest_insertion,13,0.133,3248.528,1628.408,1617.638,88.333
farthest_insertion,14,0.136,3196.396,1601.326,1592.006,93
farthest_insertion,15,0.133,3215.391,1613.275,1597.259,92.667
farthest_insertion,16,0.137,3194.615,1603.228,1583.63,92.667
farthest_insertion,17,0.133,3198.691,1603.056,1592.302,91.333
farthest_insertion,18,0.132,3208.757,1609.628,1585.176,90.667
farthest_insertion,19,0.135,3188.112,1594.79,1590.877,90.667
farthest_insertion,20,0.133,3182.254,1599.855,1583.176,92.667
farthest_insertion,AVG,0.135,3195.125,1602.269,1587.942,91.817
farthest_insertion,STD,0.003,21.995,10.851,10.976,1.353
