Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nn,1,0.005,3625.93,1767.284,1646.271,91
nn,2,0.005,3749.151,2013.427,1603.798,91
nn,3,0.004,3607.073,1934.996,1627.586,89
nn,4,0.004,3694.4,1899.445,1676.731,90.667
nn,5,0.004,3862.124,1841.327,1637.291,91
nn,6,0.005,3645.282,1764.206,1607.829,90.333
nn,7,0.005,3623.555,1619.461,1619.351,90
nn,8,0.004,3669.105,1768.429,1594.519,91
nn,9,0.004,3731.361,1954.036,1669.26,91
nn,10,0.004,3642.447,1946.733,1636.524,89.333
nn,11,0.004,3629.52,1845.651,1674.558,89.333
nn,12,0.005,3723.427,1718.179,1600.374,90
nn,13,0.005,3726.846,1739.181,1655.159,89
nn,14,0.004,3595.257,1896.908,1644.911,88.667
nn,15,0.004,3689.632,1907.607,1644.942,90.667
nn,16,0.004,3672.569,1686.746,1599.312,90
nn,17,0.005,3506.408,1636.65,1616.394,91
nn,18,0.004,3628.416,1836.595,1624.704,90
nn,19,0.004,3605.872,1918.268,1644.463,91
nn,20,0.005,3802.491,2011.357,1610.771,88.667
nn,AVG,0.004,3671.543,1835.324,1631.737,90.133
nn,STD,0.001,79.73,118.004,25.399,0.861
