Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.294,4352.113,2161.625,2158.026,89.5
nearest_insertion,2,0.277,4370.332,2198.826,2155.076,89.75
nearest_insertion,3,0.276,4355.184,2195.223,2161.723,88
nearest_insertion,4,0.277,4335.544,2168.636,2154.948,91.25
nearest_insertion,5,0.273,4402.201,2212.944,2189.167,90.25
nearest_insertion,6,0.281,4390.2,2199.273,2160.554,87.5
nearest_insertion,7,0.272,4355.544,2174.555,2156.686,92
nearest_insertion,8,0.272,4314.408,2143.726,2137.288,89.75
nearest_insertion,9,0.278,4336.571,2170.291,2152.397,91
nearest_insertion,10,0.27,4302.407,2169.668,2136.691,90.25
nearest_insertion,11,0.271,4376.61,2165.745,2144.025,90.5
nearest_insertion,12,0.273,4331.85,2191.123,2145.737,91
nearest_insertion,13,0.273,4429.234,2200.129,2196.754,87
nearest_insertion,14,0.279,4269.915,2126.235,2123.051,93.75
nearest_insertion,15,0.273,4416.737,2236.057,2182.219,87.25
nearest_insertion,16,0.271,4340.533,2171.665,2150.543,90.5
nearest_insertion,17,0.272,4342.824,2172.77,2153.41,91.25
nearest_insertion,18,0.274,4426.277,2220.089,2184.041,88
nearest_insertion,19,0.284,4342.692,2174.754,2153.662,92.5
nearest_insertion,20,0.273,4284.834,2145.381,2133.02,94.5
nearest_insertion,AVG,0.276,4353.801,2179.936,2156.451,90.275
nearest_insertion,STD,0.006,44.064,26.927,19.099,2.052
