Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
two_opt,1,0.124,4316.299,2170.423,2115.288,93.25
two_opt,2,0.12,4454.299,2172.84,2132.823,90.5
two_opt,3,0.125,4333.161,2175.783,2106.063,91.5
two_opt,4,0.123,4366.525,2221.215,2124.807,92.75
two_opt,5,0.124,4284.411,2159.248,2094.601,93.75
two_opt,6,0.122,4456.002,2169.43,2155.696,90.5
two_opt,7,0.121,4317.457,2151.433,2119.665,92.75
two_opt,8,0.123,4360.572,2187.564,2132.655,91
two_opt,9,0.122,4360.562,2154.827,2120.531,93
two_opt,10,0.123,4418.623,2182.054,2141.888,92
two_opt,11,0.125,4356.827,2198.803,2139.875,91.25
two_opt,12,0.123,4315.807,2141.394,2124.391,90.25
two_opt,13,0.124,4325.521,2153.911,2113.952,93.25
two_opt,14,0.118,4467.032,2197.257,2131.472,93.25
two_opt,15,0.122,4422.996,2208.708,2136.963,90
two_opt,16,0.124,4329.179,2098.995,2098.172,94
two_opt,17,0.122,4356.827,2179.041,2143.762,90
two_opt,18,0.12,4320.081,2175.7,2143.743,92
two_opt,19,0.124,4298.213,2174.09,2103.934,91.5
two_opt,20,0.123,4270.376,2153.448,2113.443,92
two_opt,AVG,0.123,4356.539,2171.308,2124.686,91.925
two_opt,STD,0.002,58.256,26.527,16.701,1.285
