Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.002,8026.46,4136.433,3661.58,85
arbitrary_insertion,2,0,7942.635,4049.541,3643.215,89
arbitrary_insertion,3,0.001,8131.215,4077.821,3712.516,89
arbitrary_insertion,4,0.001,7740.132,3944.694,3499.226,87
arbitrary_insertion,5,0.001,7759.264,4067.633,3560.811,87
arbitrary_insertion,6,0,8161.482,4143.192,3798.558,85
arbitrary_insertion,7,0,7899.575,4017.105,3666.426,83
arbitrary_insertion,8,0.001,7711.298,3832.121,3556.566,84
arbitrary_insertion,9,0.001,7922.429,4070.359,3654.476,85
arbitrary_insertion,10,0.001,7869.928,3851.564,3547.195,86
arbitrary_insertion,11,0.001,8278.89,4231.576,3853.024,86
arbitrary_insertion,12,0.001,7720.774,3807.071,3696.197,89
arbitrary_insertion,13,0.001,7836.305,3873.959,3607.694,86
arbitrary_insertion,14,0.001,8259.829,4194.113,3850.37,87
arbitrary_insertion,15,0.001,7883.097,3998.994,3746.045,90
arbitrary_insertion,16,0,8047.823,4149.142,3677.014,87
arbitrary_insertion,17,0,7815.685,4120.382,3664.286,91
arbitrary_insertion,18,0,7542.487,3763.86,3521.07,91
arbitrary_insertion,19,0.001,7956.093,4009.134,3737.993,87
arbitrary_insertion,20,0,8360.194,4559.51,3845.374,81
arbitrary_insertion,AVG,0.001,7943.28,4044.91,3674.982,86.75
arbitrary_insertion,STD,0.001,213.463,180.705,108.079,2.593
