Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
cheapest_insertion,1,0.037,25338.54,12414.812,12065.559,87
cheapest_insertion,2,0.033,25383.325,12618.748,12154.564,86.5
cheapest_insertion,3,0.032,23910.812,12423.649,11220.067,91.5
cheapest_insertion,4,0.031,24908.178,12172.805,11812.794,88.5
cheapest_insertion,5,0.031,24951.67,12876.841,11840.663,88.5
cheapest_insertion,6,0.031,24659.958,11944.981,11578.763,90
cheapest_insertion,7,0.032,24872.171,12303.778,11797.146,89
cheapest_insertion,8,0.031,25268.695,12367.503,12016.504,87.5
cheapest_insertion,9,0.031,25236.343,12360.606,12008.798,87.5
cheapest_insertion,10,0.031,24700.195,11955.827,11590.615,90
cheapest_insertion,11,0.031,25323.688,13023.703,12076.98,87
cheapest_insertion,12,0.031,24659.958,12838.277,11578.763,90
cheapest_insertion,13,0.031,25402.119,12911.243,12178.73,86.5
cheapest_insertion,14,0.031,25069.362,12899.714,11939.012,88.5
cheapest_insertion,15,0.031,24708.2,11999.834,11634.823,89
cheapest_insertion,16,0.031,24738.642,12838.062,11660.023,88
cheapest_insertion,17,0.032,25509.783,12981.776,12257.361,85.5
cheapest_insertion,18,0.03,24659.958,11944.981,11578.763,90
cheapest_insertion,19,0.03,24523.269,11759.874,11412.296,91
cheapest_insertion,20,0.03,25223.845,12993.579,12004.265,88
cheapest_insertion,AVG,0.031,24952.435,12481.529,11820.325,88.475
cheapest_insertion,STD,0.002,394.472,420.694,280.493,1.602
