Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nn,1,0.005,49708.781,24443.602,21881.795,90.667
nn,2,0.004,48180.334,23566.469,21403.4,90
nn,3,0.004,49974.417,22490.511,21770.794,91.667
nn,4,0.004,49344.316,27096.51,21435.288,90.667
nn,5,0.003,50353.376,24852.662,20539.353,91
nn,6,0.003,50006.533,22427.348,21180.193,90.667
nn,7,0.003,49978.648,24921.941,22163.117,88.667
nn,8,0.003,49670.097,23247.103,22204.623,90.333
nn,9,0.003,47020.94,23424.222,21195.728,91
nn,10,0.004,48456.34,23293.777,20958.106,91.333
nn,11,0.003,49876.278,26223.138,20079.183,90.667
nn,12,0.003,49232.473,26995.928,21431.885,91.333
nn,13,0.004,50079.609,25785.434,20817.677,91.333
nn,14,0.004,48246.067,24674.709,20554.931,91
nn,15,0.003,49337.592,24073.795,21190.638,90
nn,16,0.003,50414.124,22218.3,20794.067,90.667
nn,17,0.004,48445.974,24752.512,20329.258,90.333
nn,18,0.003,50287.025,25314.435,21905.854,89
nn,19,0.003,49969.602,24466.523,21113.878,90.333
nn,20,0.003,48704.803,23996.866,21658.351,91
nn,AVG,0.003,49364.366,24413.289,21230.406,90.583
nn,STD,0.001,909.338,1405.541,598.78,0.748
