Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
farthest_insertion,1,0.295,66204.035,32745.937,31729.105,96.5
farthest_insertion,2,0.277,66445.007,32577.96,31667.962,96.75
farthest_insertion,3,0.275,66106.675,33454.247,32241.983,96
farthest_insertion,4,0.277,66496.786,33092.139,32097.564,96.75
farthest_insertion,5,0.272,66653.177,33159.581,32242.766,96
farthest_insertion,6,0.279,67407.66,34411.54,32390.408,97.25
farthest_insertion,7,0.271,67104.499,33276.709,32768.252,94.75
farthest_insertion,8,0.27,66910.974,34014.142,31822.489,95.75
farthest_insertion,9,0.276,66665.6,33457.752,32336.633,96.25
farthest_insertion,10,0.265,66366.941,33082.431,31952.712,95.75
farthest_insertion,11,0.268,68139.277,34179.816,32954.497,97
farthest_insertion,12,0.269,66039.849,33436.094,32021.581,96.5
farthest_insertion,13,0.268,66176.329,33444.657,32333.192,96.5
farthest_insertion,14,0.276,66867.151,33443.648,32328.685,96.5
farthest_insertion,15,0.269,66798.955,33747.701,32549.396,98.5
farthest_insertion,16,0.269,66074.075,32862.375,32025.819,96
farthest_insertion,17,0.267,67450.722,33998.569,32434.18,96.5
farthest_insertion,18,0.261,66044.11,32634.034,31833.048,96.5
farthest_insertion,19,0.27,67537.334,33319.252,32713.792,95.75
farthest_insertion,20,0.265,66657.907,33905.247,32127.124,95.75
farthest_insertion,AVG,0.272,66707.353,33412.192,32228.559,96.362
farthest_insertion,STD,0.007,581.93,513.292,350.239,0.75
