Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.291,76209.342,37776.322,37246.669,87.75
nearest_insertion,2,0.271,75808.39,38650.773,36924.021,88.75
nearest_insertion,3,0.27,76053.449,38779.447,37021.413,88.25
nearest_insertion,4,0.268,76413.213,37955.447,37316.843,87.75
nearest_insertion,5,0.269,76582.069,37802.864,37043.309,89
nearest_insertion,6,0.277,76564.648,37861.362,37377.743,87.5
nearest_insertion,7,0.269,76387.592,37739.478,37357.042,88
nearest_insertion,8,0.267,76449.505,38879.564,37286.657,87.5
nearest_insertion,9,0.275,76744.26,37875.737,37377.749,87.5
nearest_insertion,10,0.268,76218.651,38852.427,37100.832,88
nearest_insertion,11,0.268,76548.41,38918.454,37213.828,87.75
nearest_insertion,12,0.268,76309.865,38903.147,37050.652,88.25
nearest_insertion,13,0.273,76467.558,38893.497,37289.379,87.5
nearest_insertion,14,0.278,76528.765,38897.118,37342.221,88.25
nearest_insertion,15,0.267,75985.263,37842.122,37253.639,87.5
nearest_insertion,16,0.267,77215.853,38068.77,37535.22,87.5
nearest_insertion,17,0.266,76236.704,38866.36,37103.554,88
nearest_insertion,18,0.267,76697.675,38899.109,37397.34,87.25
nearest_insertion,19,0.274,76404.081,38857.427,37266.891,88
nearest_insertion,20,0.258,76548.909,38921.216,37255.38,88
nearest_insertion,AVG,0.271,76418.71,38462.032,37238.019,87.9
nearest_insertion,STD,0.007,302.644,507.32,153.292,0.447
