Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
repetitive_nn,1,2.323,72049.074,37686.512,31161.247,94.5
repetitive_nn,2,2.156,72009.484,37664.737,31125.419,94.75
repetitive_nn,3,2.118,72049.074,37686.512,31161.247,94.5
repetitive_nn,4,2.233,72009.484,37664.737,31125.419,94.75
repetitive_nn,5,2.241,72049.074,37686.512,31161.247,94.5
repetitive_nn,6,2.249,72049.074,37686.512,31161.247,94.5
repetitive_nn,7,2.161,72049.074,37686.512,31161.247,94.5
repetitive_nn,8,2.174,72009.484,37664.737,31125.419,94.75
repetitive_nn,9,2.232,72009.484,37664.737,31125.419,94.75
repetitive_nn,10,2.209,72009.484,37664.737,31125.419,94.75
repetitive_nn,11,2.195,72049.074,37686.512,31161.247,94.5
repetitive_nn,12,2.202,72009.484,37664.737,31125.419,94.75
repetitive_nn,13,2.183,72009.484,37664.737,31125.419,94.75
repetitive_nn,14,2.166,72009.484,37664.737,31125.419,94.75
repetitive_nn,15,2.255,72049.074,37686.512,31161.247,94.5
repetitive_nn,16,2.153,72009.484,37664.737,31125.419,94.75
repetitive_nn,17,2.219,72009.484,37664.737,31125.419,94.75
repetitive_nn,18,2.228,72009.484,37664.737,31125.419,94.75
repetitive_nn,19,2.184,72049.074,37686.512,31161.247,94.5
repetitive_nn,20,2.119,72009.484,37664.737,31125.419,94.75
repetitive_nn,AVG,2.2,72025.32,37673.447,31139.75,94.65
repetitive_nn,STD,0.05,19.899,10.944,18.008,0.126
