Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
cheapest_insertion,1,0.01,1219.211,605.836,585.882,96
cheapest_insertion,2,0.008,1230.123,634.738,591.104,96
cheapest_insertion,3,0.009,1243.184,644.807,594.358,95
cheapest_insertion,4,0.009,1254.099,621.315,603.803,93
cheapest_insertion,5,0.008,1230.125,606.254,589.672,96
cheapest_insertion,6,0.008,1227.937,590.929,589.566,93
cheapest_insertion,7,0.008,1219.209,625.646,585.801,96
cheapest_insertion,8,0.008,1238.115,608.251,591.749,95
cheapest_insertion,9,0.008,1246.108,614.443,596.372,93
cheapest_insertion,10,0.008,1235.189,625.392,594.259,97
cheapest_insertion,11,0.008,1230.123,605.985,589.403,96
cheapest_insertion,12,0.008,1246.104,626.241,590.642,95
cheapest_insertion,13,0.008,1203.226,634.19,581.069,97
cheapest_insertion,14,0.008,1208.291,620.721,582.853,98
cheapest_insertion,15,0.008,1235.93,596.25,592.264,92
cheapest_insertion,16,0.008,1213.358,623.313,585.429,98
cheapest_insertion,17,0.009,1216.284,602.361,585.641,98
cheapest_insertion,18,0.008,1230.123,636.44,589.403,96
cheapest_insertion,19,0.008,1226.256,631.105,590.793,97
cheapest_insertion,20,0.009,1243.181,612.055,595.603,96
cheapest_insertion,AVG,0.008,1229.809,618.314,590.283,95.65
cheapest_insertion,STD,0.001,13.531,14.55,5.205,1.755
