Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.014,1278.813,672.726,617.003,88
nearest_insertion,2,0.012,1301.108,650.761,621.856,87
nearest_insertion,3,0.012,1274.208,663.445,606.143,91
nearest_insertion,4,0.012,1278.863,640.141,622.124,92
nearest_insertion,5,0.012,1299.913,655.956,628.412,87
nearest_insertion,6,0.012,1298.186,649.842,629.741,88
nearest_insertion,7,0.012,1288.054,661.53,623.402,90
nearest_insertion,8,0.011,1319.809,696.518,634.207,85
nearest_insertion,9,0.012,1267.894,620.887,619.124,89
nearest_insertion,10,0.012,1288.052,645.938,625.977,91
nearest_insertion,11,0.012,1251.911,651.399,611.428,91
nearest_insertion,12,0.012,1267.161,634.464,612.8,92
nearest_insertion,13,0.014,1259.168,618.754,600.188,92
nearest_insertion,14,0.012,1261.889,609.281,607.579,92
nearest_insertion,15,0.012,1300.171,666.936,630.355,89
nearest_insertion,16,0.011,1272.231,635.474,614.165,91
nearest_insertion,17,0.011,1272.07,619.639,603.476,91
nearest_insertion,18,0.012,1285.128,652.421,623.286,91
nearest_insertion,19,0.013,1278.08,643.023,618.42,90
nearest_insertion,20,0.012,1254.105,641.43,602.638,94
nearest_insertion,AVG,0.012,1279.841,646.528,617.616,90.05
nearest_insertion,STD,0.001,17.794,20.744,10.031,2.188
