Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
repetitive_nn,1,0.087,1256.131,632.419,586.829,96
repetitive_nn,2,0.079,1262.074,618.109,612.249,96
repetitive_nn,3,0.08,1274.535,612.393,610.564,96
repetitive_nn,4,0.079,1262.419,617.715,592.223,96
repetitive_nn,5,0.079,1264.999,615.987,607.159,96
repetitive_nn,6,0.077,1254.085,610.999,606.255,96
repetitive_nn,7,0.077,1275.71,613.328,606.091,95
repetitive_nn,8,0.077,1267.486,646.896,606.541,94
repetitive_nn,9,0.078,1216.009,604.615,583.728,98
repetitive_nn,10,0.079,1258.891,607.617,605.944,97
repetitive_nn,11,0.078,1243.512,640.871,590.207,96
repetitive_nn,12,0.078,1239.041,614.573,597.232,96
repetitive_nn,13,0.077,1263.015,610.104,608.39,97
repetitive_nn,14,0.077,1231.05,609.176,594.392,97
repetitive_nn,15,0.077,1267.925,621.475,610.227,93
repetitive_nn,16,0.078,1226.925,606.253,592.788,97
repetitive_nn,17,0.077,1245.886,600.404,598.861,93
repetitive_nn,18,0.077,1249.958,607.711,605.563,96
repetitive_nn,19,0.078,1253.645,634.536,586.737,95
repetitive_nn,20,0.077,1254.082,610.198,608.573,96
repetitive_nn,AVG,0.078,1253.369,616.769,600.528,95.8
repetitive_nn,STD,0.002,15.806,12.526,9.188,1.281
