Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.006,4596.371,2307.405,2267.363,94
arbitrary_insertion,2,0.005,4485.42,2243.328,2217.887,97.75
arbitrary_insertion,3,0.006,4417.291,2234.602,2176.174,97
arbitrary_insertion,4,0.004,4460.602,2236.372,2211.953,96.25
arbitrary_insertion,5,0.004,4509.189,2258.175,2230.99,97.25
arbitrary_insertion,6,0.004,4525.278,2252.725,2236.427,95.5
arbitrary_insertion,7,0.004,4511.594,2284.309,2224.737,94.75
arbitrary_insertion,8,0.004,4552.095,2275.08,2252.989,94.75
arbitrary_insertion,9,0.004,4446.17,2212.007,2183.949,97
arbitrary_insertion,10,0.004,4512.753,2280.885,2234.746,97.5
arbitrary_insertion,11,0.004,4518.9,2248.504,2225.484,96.75
arbitrary_insertion,12,0.004,4522.436,2269.611,2231.571,96.75
arbitrary_insertion,13,0.004,4506.966,2261.916,2239.311,96
arbitrary_insertion,14,0.004,4541.62,2287.534,2231.519,95.75
arbitrary_insertion,15,0.005,4463.918,2244.172,2215.787,97.5
arbitrary_insertion,16,0.004,4429.672,2211.534,2185.362,97.5
arbitrary_insertion,17,0.004,4469.924,2247.333,2193.152,96.5
arbitrary_insertion,18,0.004,4522.718,2288.294,2240.261,95.25
arbitrary_insertion,19,0.004,4511.423,2275.327,2221.506,96.75
arbitrary_insertion,20,0.004,4492.033,2237.596,2208.427,96
arbitrary_insertion,AVG,0.004,4499.819,2257.835,2221.48,96.325
arbitrary_insertion,STD,0.001,42.937,25.683,23.354,1.058
