Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
farthest_insertion,1,0.291,4454.733,2224.776,2185.764,97.5
farthest_insertion,2,0.272,4396.174,2182.773,2172.246,99
farthest_insertion,3,0.272,4461.253,2233.444,2214.475,96.5
farthest_insertion,4,0.271,4559.012,2277.99,2247.398,96.75
farthest_insertion,5,0.271,4488.826,2256.757,2217.088,97
farthest_insertion,6,0.277,4482.457,2247.183,2226.152,97.25
farthest_insertion,7,0.269,4534.999,2265.797,2238.036,96.75
farthest_insertion,8,0.269,4518.505,2245.558,2231.138,96.5
farthest_insertion,9,0.277,4531.301,2277.773,2230.476,95.5
farthest_insertion,10,0.268,4401.039,2206.785,2175.583,98
farthest_insertion,11,0.269,4514.05,2259.531,2230.102,97.5
farthest_insertion,12,0.267,4486.311,2248.971,2208.135,97.75
farthest_insertion,13,0.268,4395.426,2216.838,2177.324,98
farthest_insertion,14,0.272,4422.163,2222.345,2179.295,98.75
farthest_insertion,15,0.269,4440.409,2236.168,2187.517,99
farthest_insertion,16,0.266,4512.091,2261.714,2219.703,97.75
farthest_insertion,17,0.269,4431.735,2220.951,2192.262,98.5
farthest_insertion,18,0.267,4465.078,2250.22,2205.887,97.25
farthest_insertion,19,0.274,4495.895,2262.341,2228.433,96
farthest_insertion,20,0.267,4458.451,2232.709,2200.369,98.75
farthest_insertion,AVG,0.271,4472.495,2241.531,2208.369,97.5
farthest_insertion,STD,0.006,48.207,24.41,23.292,1
