Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nn,1,0.008,5458.627,2717.779,2375.811,93
nn,2,0.007,5082.905,2479.596,2296.809,93.5
nn,3,0.005,5163.348,2383.932,2318.691,92.75
nn,4,0.005,5152.364,2536.09,2345.717,93
nn,5,0.006,5218.518,2637.744,2388.033,93.25
nn,6,0.006,5217.054,2764.07,2305.273,93.75
nn,7,0.005,5161.405,2382.937,2300.469,93
nn,8,0.005,5296.627,2933.605,2281.325,93.25
nn,9,0.005,5141.041,2469.44,2292.726,94.25
nn,10,0.006,5410.964,2911.848,2374.402,93.25
nn,11,0.005,5314.369,2676.596,2334.215,93.25
nn,12,0.005,5107.014,2504.574,2298.229,93.25
nn,13,0.005,5227.517,2797.656,2277.23,92.75
nn,14,0.005,5121.253,2621.577,2324.575,94
nn,15,0.005,5017.852,2610.334,2308.418,93
nn,16,0.005,4980.987,2598.099,2275.689,94
nn,17,0.005,5378.7,2900.325,2290.756,93
nn,18,0.005,5204.803,2336.746,2336.746,93
nn,19,0.005,4936.852,2577.275,2285.39,93.25
nn,20,0.005,5155.029,2692.828,2309.71,93
nn,AVG,0.005,5187.362,2626.653,2316.011,93.275
nn,STD,0.001,136.404,176.102,33.629,0.421
