Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
two_opt,1,0.137,4550.887,2312.62,2219.076,97.25
two_opt,2,0.14,4546.131,2222.096,2219.435,97.5
two_opt,3,0.138,4556.048,2296.976,2259.266,96.75
two_opt,4,0.139,4567.68,2242.031,2237.05,96.75
two_opt,5,0.137,4598.68,2286.791,2266.299,96.75
two_opt,6,0.141,4670.856,2370.994,2230.214,96.5
two_opt,7,0.138,4553.192,2250.032,2192.518,97.25
two_opt,8,0.141,4644.535,2211.583,2211.583,97.5
two_opt,9,0.126,4549.287,2289.296,2226.148,97.75
two_opt,10,0.134,4617.58,2245.896,2238.436,96.75
two_opt,11,0.134,4525.434,2250.634,2241.987,97.5
two_opt,12,0.135,4585.167,2344.973,2229.787,97.5
two_opt,13,0.134,4521.723,2251.885,2195.822,98.5
two_opt,14,0.136,4491.127,2241.399,2176.476,98.5
two_opt,15,0.139,4471.565,2201.925,2177.4,98.75
two_opt,16,0.139,4539.469,2272.102,2232.094,98
two_opt,17,0.136,4735.513,2250.742,2231.942,98.25
two_opt,18,0.136,4581.652,2231.555,2217.157,98
two_opt,19,0.137,4564.396,2279.441,2231.872,97
two_opt,20,0.136,4555.573,2321.868,2215.042,98.25
two_opt,AVG,0.137,4571.325,2268.742,2222.48,97.55
two_opt,STD,0.003,60.604,44.275,23.506,0.682
