Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
repetitive_nn,1,0.1,1233.308,576.866,560.534,93
repetitive_nn,2,0.096,1233.215,635.895,574.737,91
repetitive_nn,3,0.089,1218.832,635.862,563.554,92
repetitive_nn,4,0.09,1200.75,643.67,549.713,95
repetitive_nn,5,0.091,1231.85,591.591,572.603,93
repetitive_nn,6,0.089,1241.325,675.146,565.191,91
repetitive_nn,7,0.089,1215.246,606.114,578.634,92
repetitive_nn,8,0.088,1219.415,624.355,557.067,94
repetitive_nn,9,0.09,1217.973,649.437,555.776,93
repetitive_nn,10,0.089,1247.115,661.531,565.606,91
repetitive_nn,11,0.09,1257.673,645.094,595.096,90
repetitive_nn,12,0.089,1218.701,626.688,579.532,93
repetitive_nn,13,0.089,1247.766,632.59,574.067,89
repetitive_nn,14,0.096,1232.894,627.179,572.343,91
repetitive_nn,15,0.09,1204.268,627.376,574.636,93
repetitive_nn,16,0.089,1231.805,644.345,568.633,95
repetitive_nn,17,0.088,1230.996,629.993,579.318,94
repetitive_nn,18,0.09,1208.519,584.44,561.497,95
repetitive_nn,19,0.089,1205.732,621.426,552.79,93
repetitive_nn,20,0.089,1251.815,572.328,561.106,91
repetitive_nn,AVG,0.09,1227.46,625.596,568.122,92.45
repetitive_nn,STD,0.003,16.514,27.262,10.975,1.701
