Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
farthest_insertion,1,0.063,2328.779,1168.707,1146.733,91
farthest_insertion,2,0.056,2314.123,1142.899,1136.341,95.5
farthest_insertion,3,0.052,2345.839,1189.596,1156.817,95
farthest_insertion,4,0.057,2326.844,1157.441,1149.585,97.5
farthest_insertion,5,0.053,2296.418,1151.781,1130.875,98
farthest_insertion,6,0.057,2339.981,1171.158,1138.465,97
farthest_insertion,7,0.053,2333.347,1152.233,1141.443,96.5
farthest_insertion,8,0.052,2264.057,1146.887,1116.295,96
farthest_insertion,9,0.054,2255.905,1118.438,1111.986,96.5
farthest_insertion,10,0.051,2298.2,1149.689,1131.634,94.5
farthest_insertion,11,0.054,2324.965,1180.902,1147.742,93
farthest_insertion,12,0.052,2291.697,1131.518,1122.174,95
farthest_insertion,13,0.057,2352.987,1181.456,1160.908,95.5
farthest_insertion,14,0.053,2316.287,1173.799,1132.543,94.5
farthest_insertion,15,0.057,2321.271,1157.332,1136.159,95
farthest_insertion,16,0.052,2311.052,1180.145,1135.573,94.5
farthest_insertion,17,0.051,2351.565,1183.435,1156.124,97
farthest_insertion,18,0.053,2334.505,1162.278,1144.388,96
farthest_insertion,19,0.051,2315.773,1163.648,1140.037,97
farthest_insertion,20,0.054,2370.626,1195.411,1155.59,93.5
farthest_insertion,AVG,0.054,2319.711,1162.938,1139.571,95.425
farthest_insertion,STD,0.003,28.532,19.828,13.301,1.68
