Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.064,2452.156,1206.983,1199.335,91
nearest_insertion,2,0.056,2440.884,1222.773,1184.355,91
nearest_insertion,3,0.052,2473.561,1243.971,1208.072,88.5
nearest_insertion,4,0.057,2423.074,1195.047,1181.475,92.5
nearest_insertion,5,0.053,2519.103,1260.654,1240.65,88.5
nearest_insertion,6,0.057,2478.812,1245.992,1221.954,89.5
nearest_insertion,7,0.052,2473.206,1266.261,1216.254,89.5
nearest_insertion,8,0.051,2483.758,1244.636,1227.363,89.5
nearest_insertion,9,0.052,2468.338,1217.392,1207.341,90.5
nearest_insertion,10,0.051,2428.419,1206.792,1204.006,93
nearest_insertion,11,0.054,2501.845,1241.188,1227.848,89
nearest_insertion,12,0.052,2409.844,1218.77,1185.242,92.5
nearest_insertion,13,0.056,2486.212,1241.587,1210.942,90.5
nearest_insertion,14,0.052,2422.921,1234.078,1197.225,90.5
nearest_insertion,15,0.057,2454.828,1210.731,1210.731,89.5
nearest_insertion,16,0.052,2496.347,1287.388,1211.562,89.5
nearest_insertion,17,0.056,2458.434,1233.471,1210.13,92.5
nearest_insertion,18,0.052,2499.103,1227.303,1215.786,90.5
nearest_insertion,19,0.05,2426.943,1229.499,1191.093,94.5
nearest_insertion,20,0.052,2459.265,1223.468,1201.519,89.5
nearest_insertion,AVG,0.054,2462.853,1232.899,1207.644,90.6
nearest_insertion,STD,0.003,30.578,22.221,15.399,1.635
