Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
two_opt,1,0.015,2428.685,1224.499,1192.905,94
two_opt,2,0.016,2423.99,1199.357,1143.385,95.5
two_opt,3,0.015,2346.391,1180.171,1151.436,95
two_opt,4,0.014,2401.271,1206.373,1176.358,94
two_opt,5,0.015,2374.03,1192.387,1166.948,94.5
two_opt,6,0.015,2396.232,1239.042,1158.586,94.5
two_opt,7,0.015,2486.506,1260.621,1169.639,92.5
two_opt,8,0.014,2463.371,1208.22,1168.367,95.5
two_opt,9,0.014,2479.249,1185.318,1142.824,94.5
two_opt,10,0.015,2372.342,1169.297,1160.321,96.5
two_opt,11,0.014,2319.205,1143.081,1139.347,95
two_opt,12,0.014,2381.402,1216.027,1152.225,93.5
two_opt,13,0.015,2363.826,1229.064,1120.953,95
two_opt,14,0.014,2457.106,1219.887,1178.087,96
two_opt,15,0.014,2361.139,1184.358,1153.118,94.5
two_opt,16,0.015,2375.864,1202.76,1159.505,95.5
two_opt,17,0.015,2384.662,1195.766,1155.893,94
two_opt,18,0.015,2531.51,1390.373,1153.795,95.5
two_opt,19,0.015,2341.652,1159.381,1140.537,97
two_opt,20,0.014,2422.943,1208.536,1159.3,96
two_opt,AVG,0.015,2405.569,1210.726,1157.176,94.925
two_opt,STD,0.001,55.195,50.361,16.009,1.067
