Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.004,3528.479,1788.914,1724.252,94
arbitrary_insertion,2,0.004,3508.703,1769.87,1736.987,94.667
arbitrary_insertion,3,0.003,3568.212,1786.822,1748.871,93.667
arbitrary_insertion,4,0.003,3571.775,1803.481,1750.786,95.667
arbitrary_insertion,5,0.004,3547.082,1775.502,1747.119,94.667
arbitrary_insertion,6,0.004,3517.896,1777.597,1722.662,96
arbitrary_insertion,7,0.004,3522.464,1781.724,1730.736,94.667
arbitrary_insertion,8,0.003,3482.621,1737.792,1709.657,92.333
arbitrary_insertion,9,0.004,3490.77,1760.664,1715.501,96
arbitrary_insertion,10,0.004,3488.966,1763.872,1716.321,96
arbitrary_insertion,11,0.003,3454.693,1741.875,1699.529,96.667
arbitrary_insertion,12,0.003,3498.124,1752.781,1729.991,97
arbitrary_insertion,13,0.003,3491.261,1738.094,1731.64,96
arbitrary_insertion,14,0.003,3431.621,1726.149,1702.079,96
arbitrary_insertion,15,0.004,3511.037,1769.161,1731.88,95
arbitrary_insertion,16,0.003,3501.972,1750.399,1723.681,95.667
arbitrary_insertion,17,0.004,3581.103,1807.649,1753.201,94.333
arbitrary_insertion,18,0.004,3503.622,1758.838,1725.748,96
arbitrary_insertion,19,0.003,3543.529,1781.376,1739.252,94.667
arbitrary_insertion,20,0.003,3550.125,1771.759,1753.073,95
arbitrary_insertion,AVG,0.004,3514.703,1767.216,1729.648,95.2
arbitrary_insertion,STD,0.001,38.286,21.863,16.149,1.116
