Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
cheapest_insertion,1,0.091,3675.817,1854.241,1809.776,95
cheapest_insertion,2,0.081,3629.997,1806.771,1785.154,93.333
cheapest_insertion,3,0.081,3675.034,1837.151,1804.567,94.667
cheapest_insertion,4,0.081,3706.652,1879.843,1834.454,94
cheapest_insertion,5,0.08,3682.32,1847.111,1820.774,94.333
cheapest_insertion,6,0.08,3701.668,1841.245,1827.61,93.667
cheapest_insertion,7,0.08,3677.82,1852.027,1815.769,93
cheapest_insertion,8,0.079,3722.936,1873.942,1823.609,92
cheapest_insertion,9,0.08,3662.451,1838.824,1801.096,96.333
cheapest_insertion,10,0.08,3698.237,1852.075,1823.921,93.333
cheapest_insertion,11,0.081,3738.368,1850.159,1833.931,92
cheapest_insertion,12,0.08,3638.156,1820.719,1789.367,94.667
cheapest_insertion,13,0.08,3600.378,1810.974,1782.235,95.333
cheapest_insertion,14,0.08,3685.751,1831.987,1804.15,93
cheapest_insertion,15,0.08,3657.952,1856.26,1809.498,94.333
cheapest_insertion,16,0.08,3679.439,1828.457,1811.285,93
cheapest_insertion,17,0.08,3701.668,1845.572,1824.89,94.667
cheapest_insertion,18,0.08,3734.102,1850.216,1841.531,92.333
cheapest_insertion,19,0.079,3646.105,1811.48,1797.4,93
cheapest_insertion,20,0.079,3696.368,1868.307,1818.097,92.333
cheapest_insertion,AVG,0.081,3680.561,1842.868,1812.956,93.717
cheapest_insertion,STD,0.003,34.823,20.214,16.597,1.186
