Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nn,1,0.006,4118.605,2003.296,1736.2,90.333
nn,2,0.004,3859.694,2108.274,1686.405,91
nn,3,0.004,4073.226,2163.656,1723.586,88
nn,4,0.004,4125.369,2074.542,1748.594,91.667
nn,5,0.004,4210.5,2011,1732.812,91
nn,6,0.004,4066.991,2183.218,1722.243,90.333
nn,7,0.004,4133.084,2248.79,1747.467,92
nn,8,0.003,4056.833,1982.934,1733.64,90
nn,9,0.004,4126.728,1880.933,1736.129,91
nn,10,0.004,3927.844,2043.864,1740.203,90
nn,11,0.004,4047.031,2170.403,1743.536,90.333
nn,12,0.003,4155.282,2335.604,1703.465,90.333
nn,13,0.004,4095.285,1907.339,1778.724,89.667
nn,14,0.004,4030.59,2081.541,1744.737,90
nn,15,0.003,3814.379,1999.885,1705.666,91.667
nn,16,0.004,4043.294,2039.32,1706.812,91
nn,17,0.004,4122.912,1964.299,1716.875,89.667
nn,18,0.004,4300.356,2307.927,1762.924,89.333
nn,19,0.003,3972.635,1991.541,1739.637,91
nn,20,0.004,3964.504,1858.045,1703.291,91
nn,AVG,0.004,4062.257,2067.821,1730.647,90.467
nn,STD,0.001,114.321,133.54,22.38,0.927
