Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
farthest_insertion,1,0.384,1.137,57724.821,29931.186,27603.567,95.928
farthest_insertion,2,0.35,1.118,56767.001,29508.68,27386.753,95.475
farthest_insertion,3,0.357,1.139,57854.547,27651.741,27651.741,95.928
farthest_insertion,4,0.351,1.162,58998.72,30713.771,28181.243,95.023
farthest_insertion,5,0.353,1.147,58273.451,29802.809,28038.063,95.701
farthest_insertion,6,0.344,1.116,56680.308,26748.681,26748.681,96.606
farthest_insertion,7,0.351,1.16,58890.544,30898.15,27972.887,93.439
farthest_insertion,8,0.342,1.122,56962.431,28463.818,27194.063,95.928
farthest_insertion,9,0.351,1.126,57178.65,29797.694,27510.32,94.57
farthest_insertion,10,0.342,1.135,57662.058,27807.86,27589.584,96.154
farthest_insertion,11,0.35,1.121,56917.443,27507.67,27262.87,95.023
farthest_insertion,12,0.342,1.117,56703.39,27131.388,27131.388,95.249
farthest_insertion,13,0.351,1.139,57830.388,28102.143,28087.515,96.38
farthest_insertion,14,0.342,1.141,57958.574,30104.096,27961.155,95.475
farthest_insertion,15,0.35,1.135,57629.342,30020.709,27615.488,92.76
farthest_insertion,16,0.342,1.121,56927.75,27498.186,27344.005,96.38
farthest_insertion,17,0.35,1.148,58279.291,27532.035,27532.035,95.023
farthest_insertion,18,0.343,1.116,56676.667,30069.379,26735.516,96.833
farthest_insertion,19,0.35,1.136,57679.965,29983.854,27826.608,94.344
farthest_insertion,20,0.344,1.126,57162.258,29848.774,27332.527,94.57
farthest_insertion,AVG,0.349,1.133,57537.88,28956.131,27535.3,95.339
farthest_insertion,STD,0.009,0.014,711.65,1328.458,408.649,1.042
