Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.368,1.203,61103.285,31826.419,28816.896,89.367
nearest_insertion,2,0.342,1.188,60314.485,29327.189,28486.607,91.629
nearest_insertion,3,0.344,1.19,60439.702,30385.851,28360.556,90.95
nearest_insertion,4,0.336,1.195,60692.753,28925.421,28709.458,88.914
nearest_insertion,5,0.345,1.205,61218.087,29439.767,28932.31,91.176
nearest_insertion,6,0.348,1.207,61302.018,31280.676,28994.208,90.045
nearest_insertion,7,0.353,1.188,60310.576,29170.276,28617.077,91.176
nearest_insertion,8,0.344,1.175,59671.105,28921.364,28704.257,92.76
nearest_insertion,9,0.351,1.197,60794.153,29761.038,28743.946,90.045
nearest_insertion,10,0.344,1.198,60824.1,29017.223,29017.223,90.271
nearest_insertion,11,0.349,1.209,61391.188,31295.294,29580.962,91.176
nearest_insertion,12,0.341,1.191,60464.286,29599.892,28268.779,91.403
nearest_insertion,13,0.35,1.189,60384.261,29009.888,28512.139,90.95
nearest_insertion,14,0.34,1.174,59633.208,31111.058,28583.009,91.855
nearest_insertion,15,0.349,1.184,60147.124,28729.607,28273.103,90.724
nearest_insertion,16,0.34,1.191,60490.62,31646.653,28060.393,92.308
nearest_insertion,17,0.349,1.209,61387.6,29999.54,28787.596,90.498
nearest_insertion,18,0.344,1.186,60208.593,31630.747,28561.774,90.95
nearest_insertion,19,0.348,1.199,60878.025,31463.08,27743.566,90.95
nearest_insertion,20,0.342,1.215,61703.004,32146.914,29614.528,90.045
nearest_insertion,AVG,0.346,1.195,60667.909,30234.395,28668.419,90.86
nearest_insertion,STD,0.007,0.011,566.447,1183.423,446.319,0.93
