Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
two_opt,1,0.17,1.133,57547.744,27352.147,27352.147,96.606
two_opt,2,0.172,1.127,57225.651,27460.073,26597.056,96.38
two_opt,3,0.189,1.112,56489.783,28751.629,27590.297,97.511
two_opt,4,0.208,1.14,57903.25,28867.442,26894.275,96.833
two_opt,5,0.193,1.122,56987.009,26992.824,26992.824,96.154
two_opt,6,0.187,1.081,54901.277,27429.762,26471.932,96.606
two_opt,7,0.197,1.135,57645.189,30333.096,27442.513,95.475
two_opt,8,0.185,1.115,56640.779,29348.503,27106.812,95.928
two_opt,9,0.183,1.116,56665.274,27418.153,27076.068,96.606
two_opt,10,0.192,1.126,57177.664,28710.164,26939.258,95.023
two_opt,11,0.189,1.191,60471.047,29738.625,28353.971,95.249
two_opt,12,0.193,1.131,57431.931,29250.922,26784.58,95.928
two_opt,13,0.184,1.161,58981.561,28697.312,28633.797,93.439
two_opt,14,0.186,1.107,56232.058,26493.458,26493.458,96.154
two_opt,15,0.19,1.135,57656.996,28144.463,27495.881,94.796
two_opt,16,0.181,1.134,57573.41,29703.463,28000.204,95.475
two_opt,17,0.186,1.13,57385.805,30164.75,27350.887,95.928
two_opt,18,0.19,1.148,58278.05,28759.562,27499.624,95.023
two_opt,19,0.194,1.117,56736.548,28915.54,27374.778,97.285
two_opt,20,0.185,1.125,57156.349,27436.996,26959.526,95.023
two_opt,AVG,0.188,1.129,57354.369,28498.444,27270.494,95.871
two_opt,STD,0.008,0.022,1109.692,1104.736,573.307,0.962
