Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.002,1.076,116347.997,56472.091,52548.525,89.474
arbitrary_insertion,2,0.001,1.1,118958.637,61474.402,49795.83,92.105
arbitrary_insertion,3,0,1.074,116199.23,61563.405,51447.679,93.421
arbitrary_insertion,4,0.001,1.059,114536.171,60291.545,50889.714,90.789
arbitrary_insertion,5,0,1.115,120649.946,58155.398,55559.052,89.474
arbitrary_insertion,6,0.001,1.077,116438.784,62005.737,51239.25,93.421
arbitrary_insertion,7,0,1.047,113295.587,58069.531,52177.403,92.105
arbitrary_insertion,8,0,1.059,114565.087,57977.891,52174.639,92.105
arbitrary_insertion,9,0,1.114,120487.821,58982.833,51081.727,90.789
arbitrary_insertion,10,0,1.085,117315.382,59873.405,52149.825,93.421
arbitrary_insertion,11,0.001,1.08,116846.909,58083.118,51533.246,96.053
arbitrary_insertion,12,0.001,1.069,115645.439,59765.247,52205.406,89.474
arbitrary_insertion,13,0,1.094,118278.832,61180.092,51712.206,94.737
arbitrary_insertion,14,0,1.042,112659.602,56917.813,51916.104,92.105
arbitrary_insertion,15,0,1.058,114426.791,60686.282,53057.351,93.421
arbitrary_insertion,16,0.001,1.058,114466.273,57281.996,48081.342,93.421
arbitrary_insertion,17,0,1.093,118232.605,59213.814,53276.418,86.842
arbitrary_insertion,18,0,1.046,113097.869,56430.777,50122.794,92.105
arbitrary_insertion,19,0,1.076,116340.586,60379.584,51515.556,93.421
arbitrary_insertion,20,0,1.046,113175.693,56512.142,49738.36,93.421
arbitrary_insertion,AVG,0,1.073,116098.262,59065.855,51611.121,92.105
arbitrary_insertion,STD,0.001,0.022,2378.006,1837.272,1541.912,2.134
