Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
two_opt,1,0.002,1.161,125589.383,65819.16,56810.386,90.789
two_opt,2,0.001,1.056,114222.164,55364.026,50063.237,97.368
two_opt,3,0.001,1.091,118025.959,60539.462,51889.69,96.053
two_opt,4,0.001,1.11,120005.661,65219.244,50075.033,92.105
two_opt,5,0.002,1.098,118783.177,62856.44,50531.862,96.053
two_opt,6,0.001,1.043,112756.395,57359.011,50184.411,96.053
two_opt,7,0.001,1.102,119203.918,55519.047,48756.931,97.368
two_opt,8,0.001,1.085,117346.04,63268.882,52510.08,89.474
two_opt,9,0.001,1.059,114540.025,58219.249,53231.005,93.421
two_opt,10,0.001,1.094,118303.003,61541.357,52871.828,93.421
two_opt,11,0.001,1.198,129623.778,69052.047,54494.191,93.421
two_opt,12,0.001,1.103,119319.792,59232.297,52248.485,94.737
two_opt,13,0.001,1.02,110372.042,55463.357,48405.226,94.737
two_opt,14,0.001,1.132,122477.628,61019.006,55355.882,90.789
two_opt,15,0.001,1.088,117722.861,58633.328,52961.462,94.737
two_opt,16,0.001,1.133,122553.484,64103.456,53503.191,93.421
two_opt,17,0.001,1.068,115548.584,60126.595,53616.837,94.737
two_opt,18,0.001,1.144,123705.037,64930.302,52490.219,96.053
two_opt,19,0.001,1.093,118265.563,57265.1,51023.996,96.053
two_opt,20,0.001,1.095,118401.298,64194.365,53094.984,92.105
two_opt,AVG,0.001,1.099,118838.29,60986.287,52205.947,94.145
two_opt,STD,0,0.041,4463.755,3887.412,2138.892,2.238
